PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Rank,TotalPoints
D'Wayne Eskridge,2566553,WR,SEA,,,,,,,,,,,,,,,,,129,0.00
Simi Fehoko,2566004,WR,DAL,,,,,,,,,,,,10.99,,,,,130,0.00
Maurice Ffrench,2564277,WR,FA,,,,,,,,,,,,,,,,,131,0.00
Chris Finke,2565099,WR,FA,,,,,,,,,,,,,,,,,132,0.00
Dez Fitzpatrick,2566109,WR,FA,,,,,,,,,,,,,,,,,133,0.00
Isaiah Ford,2558071,WR,MIA,,,,,,,,,,,,8.12,,,,,134,0.00
Robert Foster,2560729,WR,FA,,,,,,,,,,,,,,,,,135,0.00
Daurice Fountain,2559921,WR,FA,,,,,,,,,,,,,,,,,136,0.00
John Franklin,2561197,WR,FA,,,,,,,,,,,,,,,,,137,0.00
Travis Fulgham,2562653,WR,FA,,,,,,,,,,,,,,,,,138,0.00
Aaron Fuller,2565150,WR,FA,,,,,,,,,,,,,,,,,139,0.00
Will Fuller,2555346,WR,MIA,,,,,,,,,,,,8.12,,,,,140,0.00
Devin Funchess,2552458,WR,FA,,,,,,,,,,,,,,,,,141,0.00
Rico Gafford,2561331,WR,FA,,,,,,,,,,,,,,,,,142,0.00
Russell Gage,2561061,WR,ATL,,,,,,,,,,,,8.48,,,,,143,0.00
Michael Gallup,2560735,WR,DAL,,,,,,,,,,,,10.99,,,,,144,0.00
Antonio Gandy-Golden,2565273,WR,WAS,,,,,,,,,,,,,,,,,145,0.00
Tanner Gentry,2559176,WR,FA,,,,,,,,,,,,,,,,,146,0.00
Chris Godwin,2558105,WR,TB,,,,,,,,,,,,,,,,,147,0.00
Terry Godwin,2562594,WR,JAX,,,,,,,,,,,,5.74,,,,,148,0.00
Kenny Golladay,2558052,WR,NYG,,,,,,,,,,,,11.37,,,,,149,0.00
Marquise Goodwin,2539964,WR,CHI,,,,,,,,,,,,,,,,,150,0.00
Josh Gordon,2537931,WR,KC,,,,,,,,,,,,7.69,,,,,151,0.00
Cyril Grayson,2558808,WR,FA,,,,,,,,,,,,,,,,,152,0.00
Juwan Green,2563494,WR,FA,,,,,,,,,,,,,,,,,153,0.00
Stephen Guidry,2565298,WR,FA,,,,,,,,,,,,,,,,,154,0.00
Jalen Guyton,2562844,WR,LAC,,,,,,,,,,,,8.70,,,,,155,0.00
Marvin Hall,2557034,WR,FA,,,,,,,,,,,,,,,,,156,0.00
DaeSean Hamilton,2561002,WR,DEN,,,,,,,,,,,,5.93,,,,,157,0.00
