PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Tony Jefferson,2540164,DB,LAC,,,,,,,,,,,,,,,,,,489,0.00
Gabe Jeudy-Lally,2573461,DB,TEN,,,,,,,,,,,,,,,,,,490,0.00
Alex Johnson,2573494,DB,IND,,,,,,,,,,,,,,,,,,491,0.00
Anthony Johnson,2571261,DB,FA,,,,,,,,,,,,,,,,,,492,0.00
Anthony Johnson Jr.,2569789,DB,NYG,,,,,,,,,,,,,,,,,,493,0.00
Carlton Johnson,2572771,DB,FA,,,,,,,,,,,,,,,,,,494,0.00
Emany Johnson,2573055,DB,DAL,,,,,,,,,,,,,,,,,,495,0.00
Isaiah Johnson,2573265,DB,MIA,,,,,,,,,,,,,,,,,,496,0.00
Lawrence Johnson,2573382,DB,FA,,,,,,,,,,,,,,,,,,497,0.00
Quindell Johnson,2569981,DB,LAR,,,,,,,,,,,,,,,,,,498,0.00
Shaun Jolly,2568645,DB,LAR,,,,,,,,,,,,,,,,,,499,0.00
Elijah Jones,2572417,DB,ARI,,,,,,,,,,,,,,,,,,500,0.00
Leon Jones,2573668,DB,FA,,,,,,,,,,,,,,,,,,501,0.00
Myles Jones,2572699,DB,FA,,,,,,,,,,,,,,,,,,502,0.00
Nic Jones,2569933,DB,KC,,,,,,,,,,,,,,,,,,503,0.00
PJ Jules,2572998,DB,CIN,,,,,,,,,,,,,,,,,,504,0.00
Gregory Junior,2567748,DB,HOU,,,,,,,,,,,,,,,,,,505,0.00
Kyu Kelly,2569570,DB,LV,,,,,,,,,,,,,,,,,,506,0.00
Anthony Kendall,2571467,DB,BAL,,,,,,,,,,,,,,,,,,507,0.00
Derion Kendrick,2567841,DB,LAR,,,,,,,,,,,,,,,,,,508,0.00
Robert Kennedy,2573794,DB,FA,,,,,,,,,,,,,,,,,,509,0.00
Jaylen Key,2572366,DB,FA,,,,,,,,,,,,,,,,,,510,0.00
Desmond King,2557927,DB,HOU,,,,,,,,,,,,,,,,,,511,0.00
Kalen King,2572039,DB,GB,,,,,,,,,,,,,,,,,,512,0.00
Cam Lampkin,2573817,DB,LAR,,,,,,,,,,,,,,,,,,513,0.00
Raheem Layne,2569206,DB,NYG,,,,,,,,,,,,,,,,,,514,0.00
Kenny Logan Jr.,2573731,DB,FA,,,,,,,,,,,,,,,,,,515,0.00
David Long,2562798,DB,IND,,,,,,,,,,,,,,,,,,516,0.00
Keni-H Lovely,2572914,DB,FA,,,,,,,,,,,,,,,,,,517,0.00
Chase Lucas,2567553,DB,SF,,,,,,,,,,,,,,,,,,518,0.00
Jason Maitre,2573852,DB,FA,,,,,,,,,,,,,,,,,,519,0.00
D'Angelo Mandell,2571443,DB,FA,,,,,,,,,,,,,,,,,,520,0.00
Dean Marlowe,2553562,DB,FA,,,,,,,,,,,,,,,,,,521,0.00
Christian Matthew,2568114,DB,BAL,,,,,,,,,,,,,,,,,,522,0.00
Bobby McCain,2552434,DB,MIN,,,,,,,,,,,,,,,,,,523,0.00
Mac McCain III,2566866,DB,FA,,,,,,,,,,,,,,,,,,524,0.00
Cameron McCutcheon,2571512,DB,FA,,,,,,,,,,,,,,,,,,525,0.00
Chris McDonald,2573584,DB,FA,,,,,,,,,,,,,,,,,,526,0.00
Dwight McGlothern,2573310,DB,MIN,,,,,,,,,,,,,,,,,,527,0.00
Verone McKinley III,2569035,DB,FA,,,,,,,,,,,,,,,,,,528,0.00
Kyler McMichael,2569302,DB,FA,,,,,,,,,,,,,,,,,,529,0.00
Patrick McMorris,2572246,DB,MIA,,,,,,,,,,,,,,,,,,530,0.00
Zech McPhearson,2566406,DB,JAX,,,,,,,,,,,,,,,,,,531,0.00
Nathan Meadors,2562990,DB,FA,,,,,,,,,,,,,,,,,,532,0.00
Ifeatu Melifonwu,2566064,DB,DET,,,,,,,,,,,,,,,,,,533,0.00
D.J. Miller,2572838,DB,FA,,,,,,,,,,,,,,,,,,534,0.00
Paul Moala,2573674,DB,FA,,,,,,,,,,,,,,,,,,535,0.00
C.J. Moore,2563193,DB,FA,,,,,,,,,,,,,,,,,,536,0.00
