PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Mitchell Agude,2571111,LB,FA,,,,,,,,,,,,,,,,,,252,0.00
Troy Andersen,2567235,LB,ATL,,,,,,,,,,,,,,,,,,253,0.00
Liam Anderson,2570521,LB,FA,,,,,,,,,,,,,,,,,,254,0.00
Kam Arnold,2574604,LB,FA,,,,,,,,,,,,,,,,,,255,0.00
Brian Asamoah II,2567901,LB,LV,,,,,,,,,,,,,,,,,,256,0.00
Eugene Asante,2574317,LB,CLE,,,,,,,,,,,,,,,,,,257,0.00
Levelle Bailey,2573079,LB,DEN,,,,,,,,,,,,,,,,,,258,0.00
Amare Barno,2567346,LB,FA,,,,,,,,,,,,,,,,,,259,0.00
Michael Barrett,2571880,LB,FA,,,,,,,,,,,,,,,,,,260,0.00
Justin Barron,2574067,LB,DAL,,,,,,,,,,,,,,,,,,261,0.00
Jared Bartlett,2574432,LB,ARI,,,,,,,,,,,,,,,,,,262,0.00
Abraham Beauplan,2571180,LB,FA,,,,,,,,,,,,,,,,,,263,0.00
Quinton Bell,2562908,LB,MIA,,,,,,,,,,,,,,,,,,264,0.00
Stone Blanton,2574536,LB,SF,,,,,,,,,,,,,,,,,,265,0.00
Elliott Brown,2574475,LB,ARI,,,,,,,,,,,,,,,,,,266,0.00
J.B. Brown,2574085,LB,FA,,,,,,,,,,,,,,,,,,267,0.00
Amari Burney,2570041,LB,FA,,,,,,,,,,,,,,,,,,268,0.00
Chance Campbell,2567646,LB,PHI,,,,,,,,,,,,,,,,,,269,0.00
Jaylon Carlies,2572114,LB,IND,,,,,,,,,,,,,,,,,,270,0.00
Andre Carter II,2571207,LB,DET,,,,,,,,,,,,,,,,,,271,0.00
Lorenzo Carter,2561015,LB,FA,,,,,,,,,,,,,,,,,,272,0.00
Jake Chaney,2574664,LB,FA,,,,,,,,,,,,,,,,,,273,0.00
Cole Christiansen,2565021,LB,KC,,,,,,,,,,,,,,,,,,274,0.00
Jimmy Ciarlo,2572684,LB,BUF,,,,,,,,,,,,,,,,,,275,0.00
K.J. Cloyd,2573283,LB,FA,,,,,,,,,,,,,,,,,,276,0.00
Seth Coleman,2574557,LB,IND,,,,,,,,,,,,,,,,,,277,0.00
Junior Colson,2572465,LB,LAC,,,,,,,,,,,,,,,,,,278,0.00
Branson Combs,2574211,LB,JAX,,,,,,,,,,,,,,,,,,279,0.00
Jamin Davis,2566595,LB,LV,,,,,,,,,,,,,,,,,,280,0.00
Solomon DeShields,2574185,LB,FA,,,,,,,,,,,,,,,,,,281,0.00
De'Shaan Dixon,2567736,LB,FA,,,,,,,,,,,,,,,,,,282,0.00
Lance Dixon,2574457,LB,FA,,,,,,,,,,,,,,,,,,283,0.00
Power Echols,2574007,LB,FA,,,,,,,,,,,,,,,,,,284,0.00
Milo Eifler,2565729,LB,FA,,,,,,,,,,,,,,,,,,285,0.00
Andrew Farmer,2571545,LB,FA,,,,,,,,,,,,,,,,,,286,0.00
Tony Fields II,2565971,LB,FA,,,,,,,,,,,,,,,,,,287,0.00
Jalan Gaines,2574560,LB,FA,,,,,,,,,,,,,,,,,,288,0.00
Dallas Gant,2573289,LB,FA,,,,,,,,,,,,,,,,,,289,0.00
David Gbenda,2574149,LB,FA,,,,,,,,,,,,,,,,,,290,0.00
Brandon George,2574245,LB,KC,,,,,,,,,,,,,,,,,,291,0.00
DaRon Gilbert,2573127,LB,FA,,,,,,,,,,,,,,,,,,292,0.00
Joe Giles-Harris,2562591,LB,CIN,,,,,,,,,,,,,,,,,,293,0.00
Cam Gill,2565216,LB,FA,,,,,,,,,,,,,,,,,,294,0.00
Jalen Graham,2570311,LB,SF,,,,,,,,,,,,,,,,,,295,0.00
Antonio Grier Jr.,2573566,LB,FA,,,,,,,,,,,,,,,,,,296,0.00
Kylan Guidry,2574513,LB,FA,,,,,,,,,,,,,,,,,,297,0.00
Malik Hamm,2570392,LB,BAL,,,,,,,,,,,,,,,,,,298,0.00
Matt Harmon,2574347,LB,FA,,,,,,,,,,,,,,,,,,299,0.00
Devin Harper,2567499,LB,FA,,,,,,,,,,,,,,,,,,300,0.00
Jordan Hicks,2552315,LB,FA,,,,,,,,,,,,,,,,,,301,0.00
Michael Hoecht,2564346,LB,BUF,,,,,,,,,,,,,,,,,,302,0.00
Justin Hollins,2562285,LB,FA,,,,,,,,,,,,,,,,,,303,0.00
Khaleke Hudson,2565279,LB,FA,,,,,,,,,,,,,,,,,,304,0.00
Adisa Isaac,2571826,LB,BAL,,,,,,,,,,,,,,,,,,305,0.00
Jared Ivey,2574562,LB,SEA,,,,,,,,,,,,,,,,,,306,0.00
D'Eryk Jackson,2574563,LB,FA,,,,,,,,,,,,,,,,,,307,0.00
Dequan Jackson,2571041,LB,FA,,,,,,,,,,,,,,,,,,308,0.00
Nick Jackson,2574588,LB,TB,,,,,,,,,,,,,,,,,,309,0.00
Curtis Jacobs,2572826,LB,FA,,,,,,,,,,,,,,,,,,310,0.00
Josey Jewell,2560763,LB,FA,,,,,,,,,,,,,,,,,,311,0.00
Caleb Johnson,2566743,LB,MIA,,,,,,,,,,,,,,,,,,312,0.00
Dyontae Johnson,2570581,LB,FA,,,,,,,,,,,,,,,,,,313,0.00
Jamon Johnson,2574133,LB,GB,,,,,,,,,,,,,,,,,,314,0.00
Matt Jones,2574299,LB,FA,,,,,,,,,,,,,,,,,,315,0.00
Vi Jones,2568249,LB,FA,,,,,,,,,,,,,,,,,,316,0.00
Ale Kaho,2574611,LB,WAS,,,,,,,,,,,,,,,,,,317,0.00
Mohamed Kamara,2572243,LB,TB,,,,,,,,,,,,,,,,,,318,0.00
Sam Kamara,2566746,LB,CLE,,,,,,,,,,,,,,,,,,319,0.00
Khalid Kareem,2563734,LB,ATL,,,,,,,,,,,,,,,,,,320,0.00
Eric Kendricks,2552312,LB,FA,,,,,,,,,,,,,,,,,,321,0.00
Nick Kubitz,2573912,LB,FA,,,,,,,,,,,,,,,,,,322,0.00
William Kwenkeu,2569414,LB,FA,,,,,,,,,,,,,,,,,,323,0.00
Isaiah Land,2570900,LB,DAL,,,,,,,,,,,,,,,,,,324,0.00
Blake Lynch,2564562,LB,FA,,,,,,,,,,,,,,,,,,325,0.00
Chandler Martin,2573943,LB,BAL,,,,,,,,,,,,,,,,,,326,0.00
Ochaun Mathis,2569987,LB,TEN,,,,,,,,,,,,,,,,,,327,0.00
Kana'i Mauga,2568741,LB,FA,,,,,,,,,,,,,,,,,,328,0.00
Jalen McLeod,2574223,LB,JAX,,,,,,,,,,,,,,,,,,329,0.00
Kain Medrano,2574616,LB,WAS,,,,,,,,,,,,,,,,,,330,0.00
Marvin Moody,2573900,LB,FA,,,,,,,,,,,,,,,,,,331,0.00
Jeremiah Moon,2567292,LB,CAR,,,,,,,,,,,,,,,,,,332,0.00
Xander Mueller,2574667,LB,FA,,,,,,,,,,,,,,,,,,333,0.00
Jamil Muhammad,2574271,LB,LAR,,,,,,,,,,,,,,,,,,334,0.00
Gabriel Murphy,2573313,LB,MIN,,,,,,,,,,,,,,,,,,335,0.00
Grayson Murphy,2573274,LB,FA,,,,,,,,,,,,,,,,,,336,0.00
Mapalo Mwansa,2573994,LB,CAR,,,,,,,,,,,,,,,,,,337,0.00
Durell Nchami,2571794,LB,IND,,,,,,,,,,,,,,,,,,338,0.00
Elias Neal,2573737,LB,LAR,,,,,,,,,,,,,,,,,,339,0.00
Tuasivi Nomura,2573995,LB,FA,,,,,,,,,,,,,,,,,,340,0.00
Patrick O'Connell,2571366,LB,SEA,,,,,,,,,,,,,,,,,,341,0.00
Connor O'Toole,2574571,LB,SEA,,,,,,,,,,,,,,,,,,342,0.00
Amen Ogbongbemiga,2566499,LB,CHI,,,,,,,,,,,,,,,,,,343,0.00
BJ Ojulari,2570233,LB,ARI,,,,,,,,,,,,,,,,,,344,0.00
Ogbo Okoronkwo,2560829,LB,PHI,,,,,,,,,,,,,,,,,,345,0.00
Julian Okwara,2563947,LB,CLE,,,,,,,,,,,,,,,,,,346,0.00
Anfernee Orji,2571252,LB,TEN,,,,,,,,,,,,,,,,,,347,0.00
K.C. Ossai,2574177,LB,FA,,,,,,,,,,,,,,,,,,348,0.00
DeMarvion Overshown,2569705,LB,DAL,,,,,,,,,,,,,,,,,,349,0.00
Pooh Paul Jr.,2574274,LB,SEA,,,,,,,,,,,,,,,,,,350,0.00
Josh Pearcy,2574275,LB,FA,,,,,,,,,,,,,,,,,,351,0.00
Warren Peeples,2574595,LB,FA,,,,,,,,,,,,,,,,,,352,0.00
Ronnie Perkins,2566340,LB,FA,,,,,,,,,,,,,,,,,,353,0.00
Jacob Phillips,2563806,LB,IND,,,,,,,,,,,,,,,,,,354,0.00
Tyreem Powell,2574403,LB,FA,,,,,,,,,,,,,,,,,,355,0.00
Antwaun Powell-Ryland,2574472,LB,PHI,,,,,,,,,,,,,,,,,,356,0.00
Jose Ramirez,2570359,LB,FA,,,,,,,,,,,,,,,,,,357,0.00
Garmon Randolph,2574526,LB,LAC,,,,,,,,,,,,,,,,,,358,0.00
