PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Derrick Nnadi,2560823,DL,KC,6,4,,,,,,,,,,,,,1,,,222,11.90
Marcus Davenport,2561037,DL,DET,4,2,1,1,,,,,,,,,,,2,,,223,11.70
Zeek Biggers,2574319,DL,MIA,4,6,0.5,,,,,,,,,,,,2,,,224,11.60
T.J. Sanders,2573972,DL,BUF,4,5,,,,,,,,,,,,1,,,,225,11.50
Tyler Baron,2574431,DL,NYJ,5,4,,1,,,,,,,,,,,,,,226,11.40
Warren Brinson,2574126,DL,GB,4,6,0.5,,,,,,,,,,,,1,,,227,11.10
Tanoh Kpassagnon,2558185,DL,FA,4,1,1,1,,,,,,,,,,,2,,,228,11.10
LaBryan Ray,2568441,DL,CAR,6,3,,,,,,,,,,,,,,,,229,10.80
Omarr Norman-Lott,2574252,DL,KC,4,1,1,1,,,,,,,,,,,1,,,230,10.60
Brandon Pili,2571153,DL,SEA,1,9,,,,1,,,,,,,,,,,,231,10.40
Daniel Ekuale,2561458,DL,PIT,4,2,,,,,,,,,,,,1,1,,,232,10.20
BJ Green II,2574214,DL,JAX,3,7,,,,,1,,,,,,,,,,,233,9.70
Jay Tufele,2566172,DL,NYJ,4,6,,,,,,,,,,,,,,,,234,9.60
Elijah Garcia,2567829,DL,ATL,2,4,1,1,,,,,,,,,,,1,,,235,9.40
Javontae Jean-Baptiste,2572570,DL,WAS,2,4,1,1,,,,,,,,,,,1,,,236,9.40
Chauncey Golston,2566007,DL,NYG,5,3,,,,,,,,,,,,,,,,237,9.30
Chris Wormley,2557862,DL,IND,2,3,1,1,,,,,,,,,,,1,,,238,8.80
Elijah Williams,2574361,DL,MIN,5,2,,,,,,,,,,,,,,,,239,8.70
Robert Beal Jr.,2570299,DL,SF,2,9,,,,,,,,,,,,,,,,240,8.40
Zachary Carter,2567445,DL,ARI,2,3,,,,1,,,,,,,,,,,,241,8.30
Scott Matlock,2570284,DL,LAC,,,,,,,1,,,,,,,,,,,242,8.30
Tonka Hemingway,2574294,DL,LV,2,,1,1,,,1,,,,,,,,1,,,243,8.00
Nazir Stackhouse,2574138,DL,GB,2,8,,,,,,,,,,,,,,,,244,7.80
Leonard Taylor III,2572720,DL,NE,2,1,,1,,,,,,,,,,1,,,,245,7.60
C.J. Ravenell,2572866,DL,TEN,1,4,,,,1,,,,,,,,,,,,246,7.40
Eric Johnson,2567703,DL,IND,3,2,,1,,,,,,,,,,,,,,247,7.20
JJ Pegues,2574305,DL,LV,2,4,,1,,,,,,,,,,,,,,248,6.90
Ta'Quon Graham,2565815,DL,PHI,3,1,,1,,,,,,,,,,,,,,249,6.60
Arron Mosby,2568564,DL,GB,4,1,,,,,,,,,,,,,,,,250,6.60
Aeneas Peebles,2573946,DL,BAL,2,1,,,,,,,,,,,,1,1,,,251,6.60
Barryn Sorrell,2574137,DL,GB,1,5,0.5,,,,,,,,,,,,2,,,252,6.50
Matt Dickerson,2561044,DL,JAX,2,3,,1,,,,,,,,,,,,,,253,6.30
Yetur Gross-Matos,2563641,DL,SF,1,3,,,,,,,,,,,,1,1,,,254,6.30
Ty Hamilton,2574268,DL,LAR,1,7,,,,,,,,,,,,,1,,,255,6.20
Deatrich Wise,2558000,DL,WAS,2,2,,1,,,,,,,,,,,1,,,256,6.20
Zion Logue,2571805,DL,BUF,1,1,0.5,,,,,,,,,,,1,1,,,257,6.10
Otito Ogbonnia,2568183,DL,LAC,3,,,1,,,,,,,,,,,,,,258,6.00
Shemar Stewart,2574039,DL,CIN,2,4,,,,,,,,,,,,,1,,,259,5.90
Broderick Washington,2563593,DL,BAL,1,3,,,,,,,,,,,,1,,,,260,5.80
C.J. Brewer,2569330,DL,TB,2,2,0.5,,,,,,,,,,,,1,,,261,5.70
Elijah Simmons,2574487,DL,TB,2,2,,1,,,,,,,,,,,,,,262,5.70
Jordan Jackson,2567970,DL,DEN,2,3,,,,,,,,,,,,,1,,,263,5.30
Esezi Otomewo,2567928,DL,PIT,2,3,,,,,,,,,,,,,,,,264,4.80
