PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
P.J. Locke,2563012,DB,DEN,@LV,,,,,,,,,,,,,,,,,,5.80,351,0.00,-5.8
Kenny Logan Jr.,2573731,DB,FA,Bye,,,,,,,,,,,,,,,,,,,352,0.00,
David Long,2562798,DB,IND,DET,,,,,,,,,,,,,,,,,,1.13,353,0.00,-1.13
Julian Love,2562414,DB,SEA,ARI,,,,,,,,,,,,,,,,,,10.55,354,0.00,-10.55
Keni-H Lovely,2572914,DB,FA,Bye,,,,,,,,,,,,,,,,,,,355,0.00,
Chase Lucas,2567553,DB,SF,@GB,,,,,,,,,,,,,,,,,,0.00,356,0.00,0.0
Darrell Luter Jr.,2570305,DB,SF,@GB,,,,,,,,,,,,,,,,,,1.41,357,0.00,-1.41
Avonte Maddox,2560795,DB,PHI,@LAR,,,,,,,,,,,,,,,,,,1.90,358,0.00,-1.9
Jaylen Mahoney,2573527,DB,SF,@GB,,,,,,,,,,,,,,,,,,0.00,359,0.00,0.0
Jason Maitre,2573852,DB,FA,Bye,,,,,,,,,,,,,,,,,,,360,0.00,
D'Angelo Mandell,2571443,DB,FA,Bye,,,,,,,,,,,,,,,,,,,361,0.00,
Dean Marlowe,2553562,DB,FA,Bye,,,,,,,,,,,,,,,,,,,362,0.00,
Quan Martin,2570377,DB,WAS,DAL,,,,,,,,,,,,,,,,,,6.72,363,0.00,-6.72
Tyrann Mathieu,2540180,DB,NO,Bye,,,,,,,,,,,,,,,,,,,364,0.00,
Damarri Mathis,2567529,DB,DEN,@LV,,,,,,,,,,,,,,,,,,1.49,365,0.00,-1.49
Christian Matthew,2568114,DB,BAL,@LAC,,,,,,,,,,,,,,,,,,1.34,366,0.00,-1.34
Arthur Maulet,2559087,DB,BAL,@LAC,,,,,,,,,,,,,,,,,,4.38,367,0.00,-4.38
Marcus Maye,2557995,DB,MIA,NE,,,,,,,,,,,,,,,,,,1.13,368,0.00,-1.13
Bobby McCain,2552434,DB,MIN,@CHI,,,,,,,,,,,,,,,,,,0.00,369,0.00,0.0
Mac McCain III,2566866,DB,FA,Bye,,,,,,,,,,,,,,,,,,,370,0.00,
Tanner McCalister,2570855,DB,DEN,@LV,,,,,,,,,,,,,,,,,,0.00,371,0.00,0.0
Nick McCloud,2566638,DB,NYG,TB,,,,,,,,,,,,,,,,,,0.99,372,0.00,-0.99
Jaylen McCollough,2573734,DB,LAR,PHI,,,,,,,,,,,,,,,,,,0.61,373,0.00,-0.61
Tristin McCollum,2568882,DB,PHI,@LAR,,,,,,,,,,,,,,,,,,1.87,374,0.00,-1.87
Zyon McCollum,2568309,DB,TB,@NYG,,,,,,,,,,,,,,,,,,6.31,375,0.00,-6.31
Roger McCreary,2567655,DB,TEN,@HOU,,,,,,,,,,,,,,,,,,4.67,376,0.00,-4.67
Cameron McCutcheon,2571512,DB,FA,Bye,,,,,,,,,,,,,,,,,,,377,0.00,
Chris McDonald,2573584,DB,FA,Bye,,,,,,,,,,,,,,,,,,,378,0.00,
Trent McDuffie,2567802,DB,KC,@CAR,,,,,,,,,,,,,,,,,,9.16,379,0.00,-9.16
Dwight McGlothern,2573310,DB,MIN,@CHI,,,,,,,,,,,,,,,,,,0.52,380,0.00,-0.52
Verone McKinley III,2569035,DB,FA,Bye,,,,,,,,,,,,,,,,,,,381,0.00,
Xavier McKinney,2564766,DB,GB,SF,,,,,,,,,,,,,,,,,,10.65,382,0.00,-10.65
Kool-Aid McKinstry,2572321,DB,NO,Bye,,,,,,,,,,,,,,,,,,,383,0.00,
Rodney McLeod Jr.,2534832,DB,CLE,PIT,,,,,,,,,,,,,,,,,,1.49,384,0.00,-1.49
Kyler McMichael,2569302,DB,FA,Bye,,,,,,,,,,,,,,,,,,,385,0.00,
Ja'Quan McMillian,2568747,DB,DEN,@LV,,,,,,,,,,,,,,,,,,5.64,386,0.00,-5.64
Patrick McMorris,2572246,DB,MIA,NE,,,,,,,,,,,,,,,,,,2.73,387,0.00,-2.73
Zech McPhearson,2566406,DB,JAX,Bye,,,,,,,,,,,,,,,,,,,388,0.00,
Nathan Meadors,2562990,DB,FA,Bye,,,,,,,,,,,,,,,,,,,389,0.00,
Ifeatu Melifonwu,2566064,DB,DET,@IND,,,,,,,,,,,,,,,,,,0.86,390,0.00,-0.86
Max Melton,2572420,DB,ARI,@SEA,,,,,,,,,,,,,,,,,,5.90,391,0.00,-5.9
Kaevon Merriweather,2571626,DB,TB,@NYG,,,,,,,,,,,,,,,,,,1.51,392,0.00,-1.51
Josh Metellus,2564568,DB,MIN,@CHI,,,,,,,,,,,,,,,,,,8.91,393,0.00,-8.91
D.J. Miller,2572838,DB,FA,Bye,,,,,,,,,,,,,,,,,,,394,0.00,
Jalen Mills,2555383,DB,NYJ,Bye,,,,,,,,,,,,,,,,,,,395,0.00,
Cameron Mitchell,2569684,DB,CLE,PIT,,,,,,,,,,,,,,,,,,1.19,396,0.00,-1.19
Quinyon Mitchell,2572387,DB,PHI,@LAR,,,,,,,,,,,,,,,,,,5.11,397,0.00,-5.11
Paul Moala,2573674,DB,FA,Bye,,,,,,,,,,,,,,,,,,,398,0.00,
Tre'von Moehrig,2566268,DB,LV,DEN,,,,,,,,,,,,,,,,,,6.33,399,0.00,-6.33
Elijah Molden,2566115,DB,LAC,BAL,,,,,,,,,,,,,,,,,,6.04,400,0.00,-6.04
Jarius Monroe,2572708,DB,NYJ,Bye,,,,,,,,,,,,,,,,,,,401,0.00,
C.J. Moore,2563193,DB,FA,Bye,,,,,,,,,,,,,,,,,,,402,0.00,
Kenny Moore II,2558976,DB,IND,DET,,,,,,,,,,,,,,,,,,9.29,403,0.00,-9.29
Tarvarius Moore,2561117,DB,CHI,MIN,,,,,,,,,,,,,,,,,,0.00,404,0.00,0.0
Fabian Moreau,2558136,DB,MIN,@CHI,,,,,,,,,,,,,,,,,,1.14,405,0.00,-1.14
Emmanuel Moseley,2561072,DB,DET,@IND,,,,,,,,,,,,,,,,,,0.86,406,0.00,-0.86
Quandre Mosely,2568702,DB,FA,Bye,,,,,,,,,,,,,,,,,,,407,0.00,
Riley Moss,2569723,DB,DEN,@LV,,,,,,,,,,,,,,,,,,7.14,408,0.00,-7.14
Israel Mukuamu,2566013,DB,DAL,@WAS,,,,,,,,,,,,,,,,,,1.15,409,0.00,-1.15
Trayvon Mullen,2562380,DB,BAL,@LAC,,,,,,,,,,,,,,,,,,1.13,410,0.00,-1.13
Byron Murphy,2562318,DB,MIN,@CHI,,,,,,,,,,,,,,,,,,8.10,411,0.00,-8.1
Sean Murphy-Bunting,2562635,DB,ARI,@SEA,,,,,,,,,,,,,,,,,,7.89,412,0.00,-7.89
Eric Murray,2555173,DB,HOU,TEN,,,,,,,,,,,,,,,,,,4.86,413,0.00,-4.86
Malik Mustapha,2572504,DB,SF,@GB,,,,,,,,,,,,,,,,,,4.12,414,0.00,-4.12
Siran Neal,2560818,DB,MIA,NE,,,,,,,,,,,,,,,,,,2.25,415,0.00,-2.25
Nik Needham,2563220,DB,MIA,NE,,,,,,,,,,,,,,,,,,0.00,416,0.00,0.0
Greg Newsome II,2565980,DB,CLE,PIT,,,,,,,,,,,,,,,,,,6.28,417,0.00,-6.28
Quinton Newsome,2573680,DB,DEN,@LV,,,,,,,,,,,,,,,,,,0.00,418,0.00,0.0
Josh Newton,2571943,DB,CIN,Bye,,,,,,,,,,,,,,,,,,,419,0.00,
Parry Nickerson,2560822,DB,PHI,@LAR,,,,,,,,,,,,,,,,,,0.00,420,0.00,0.0
Ben Nikkel,2573605,DB,WAS,DAL,,,,,,,,,,,,,,,,,,0.00,421,0.00,0.0
Keisean Nixon,2562938,DB,GB,SF,,,,,,,,,,,,,,,,,,8.67,422,0.00,-8.67
Morice Norris Jr.,2573139,DB,DET,@IND,,,,,,,,,,,,,,,,,,0.00,423,0.00,0.0
Tyler Nubin,2572345,DB,NYG,TB,,,,,,,,,,,,,,,,,,5.74,424,0.00,-5.74
George Odum,2561131,DB,SF,@GB,,,,,,,,,,,,,,,,,,4.15,425,0.00,-4.15
Michael Ojemudia,2563908,DB,FA,Bye,,,,,,,,,,,,,,,,,,,426,0.00,
Ty Okada,2571354,DB,SEA,ARI,,,,,,,,,,,,,,,,,,0.00,427,0.00,0.0
Jeff Okudah,2563944,DB,HOU,TEN,,,,,,,,,,,,,,,,,,6.94,428,0.00,-6.94
Kitan Oladapo,2572051,DB,GB,SF,,,,,,,,,,,,,,,,,,0.00,429,0.00,0.0
Isaiah Oliver,2560830,DB,NYJ,Bye,,,,,,,,,,,,,,,,,,,430,0.00,
Amani Oruwariye,2562390,DB,DAL,@WAS,,,,,,,,,,,,,,,,,,0.00,431,0.00,0.0
