PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
John Rhys Plumlee,2573518,QB,JAX,Bye,,,,,,,,,,,,,,92,0.00,
Jack Plummer,2572941,QB,CAR,KC,,,,,,,,,,,,,0.00,93,0.00,0.0
Michael Pratt,2572054,QB,TB,@NYG,,,,,,,,,,,,,0.00,94,0.00,0.0
Dak Prescott,2555260,QB,DAL,@WAS,,,,,,,,,,,,,17.16,95,0.00,-17.16
Brock Purdy,2568216,QB,SF,@GB,,,,,,,,,,,,,16.27,96,0.00,-16.27
Spencer Rattler,2572327,QB,NO,Bye,,,,,,,,,,,,,,97,0.00,
Austin Reed,2572971,QB,CHI,MIN,,,,,,,,,,,,,0.00,98,0.00,0.0
Anthony Richardson,2569864,QB,IND,DET,,,,,,,,,,,,,15.50,99,0.00,-15.5
Desmond Ridder,2567256,QB,LV,DEN,,,,,,,,,,,,,0.00,100,0.00,0.0
Aaron Rodgers,2506363,QB,NYJ,Bye,,,,,,,,,,,,,,101,0.00,
Nathan Rourke,2569885,QB,FA,Bye,,,,,,,,,,,,,,102,0.00,
Mason Rudolph,2560860,QB,TEN,@HOU,,,,,,,,,,,,,0.00,103,0.00,0.0
Cooper Rush,2559242,QB,DAL,@WAS,,,,,,,,,,,,,0.00,104,0.00,0.0
Brett Rypien,2562718,QB,MIN,@CHI,,,,,,,,,,,,,0.00,105,0.00,0.0
Trevor Siemian,2553457,QB,TEN,@HOU,,,,,,,,,,,,,0.00,106,0.00,0.0
Jacob Sirmon,2573677,QB,FA,Bye,,,,,,,,,,,,,,107,0.00,
Kedon Slovis,2573178,QB,HOU,TEN,,,,,,,,,,,,,0.00,108,0.00,0.0
Geno Smith,2539335,QB,SEA,ARI,,,,,,,,,,,,,15.57,109,0.00,-15.57
Matthew Stafford,79860,QB,LAR,PHI,,,,,,,,,,,,,13.96,110,0.00,-13.96
Easton Stick,2562745,QB,LAC,BAL,,,,,,,,,,,,,0.00,111,0.00,0.0
Jarrett Stidham,2562746,QB,DEN,@LV,,,,,,,,,,,,,0.00,112,0.00,0.0
C.J. Stroud,2569819,QB,HOU,TEN,,,,,,,,,,,,,18.75,113,0.00,-18.75
