PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Ali Gaye,2571005,DL,TEN,@HOU,,,,,,,,,,,,,,,,,,0.00,144,0.00,0.0
Joe Gaziano,2565036,DL,JAX,Bye,,,,,,,,,,,,,,,,,,,145,0.00,
William Gholston,2540176,DL,TB,@NYG,,,,,,,,,,,,,,,,,,2.30,146,0.00,-2.3
Kevin Givens,2562655,DL,SF,@GB,,,,,,,,,,,,,,,,,,0.91,147,0.00,-0.91
Davon Godchaux,2558012,DL,NE,@MIA,,,,,,,,,,,,,,,,,,3.69,148,0.00,-3.69
Eddie Goldman,2552489,DL,ATL,Bye,,,,,,,,,,,,,,,,,,,149,0.00,
Chauncey Golston,2566007,DL,DAL,@WAS,,,,,,,,,,,,,,,,,,2.76,150,0.00,-2.76
Anthony Goodlow,2573716,DL,FA,Bye,,,,,,,,,,,,,,,,,,,151,0.00,
Matt Gotel,2568243,DL,FA,Bye,,,,,,,,,,,,,,,,,,,152,0.00,
Adam Gotsis,2555502,DL,IND,DET,,,,,,,,,,,,,,,,,,0.00,153,0.00,0.0
Brandon Graham,496788,DL,PHI,@LAR,,,,,,,,,,,,,,,,,,2.42,154,0.00,-2.42
Ta'Quon Graham,2565815,DL,ATL,Bye,,,,,,,,,,,,,,,,,,,155,0.00,
Carl Granderson,2562273,DL,NO,Bye,,,,,,,,,,,,,,,,,,,156,0.00,
Rasheem Green,2560998,DL,FA,Bye,,,,,,,,,,,,,,,,,,,157,0.00,
Mike Greene,2569465,DL,TB,@NYG,,,,,,,,,,,,,,,,,,0.00,158,0.00,0.0
Daniel Grzesiak,2573569,DL,TB,@NYG,,,,,,,,,,,,,,,,,,0.00,159,0.00,0.0
Alex Gubner,2573871,DL,FA,Bye,,,,,,,,,,,,,,,,,,,160,0.00,
Jeffrey Gunter,2567448,DL,FA,Bye,,,,,,,,,,,,,,,,,,,161,0.00,
Lawrence Guy,2495481,DL,CIN,Bye,,,,,,,,,,,,,,,,,,,162,0.00,
Gabe Hall,2572738,DL,PHI,@LAR,,,,,,,,,,,,,,,,,,0.00,163,0.00,0.0
Logan Hall,2568303,DL,TB,@NYG,,,,,,,,,,,,,,,,,,1.79,164,0.00,-1.79
Mike Hall Jr.,2571949,DL,CLE,PIT,,,,,,,,,,,,,,,,,,0.86,165,0.00,-0.86
DaVon Hamilton,2564190,DL,JAX,Bye,,,,,,,,,,,,,,,,,,,166,0.00,
Da'Shawn Hand,2561004,DL,MIA,NE,,,,,,,,,,,,,,,,,,1.15,167,0.00,-1.15
Johnathan Hankins,2540147,DL,SEA,ARI,,,,,,,,,,,,,,,,,,2.60,168,0.00,-2.6
Javon Hargrave,2555239,DL,SF,@GB,,,,,,,,,,,,,,,,,,0.00,169,0.00,0.0
Jaylen Harrell,2572066,DL,TEN,@HOU,,,,,,,,,,,,,,,,,,1.47,170,0.00,-1.47
Charles Harris,2558001,DL,CAR,KC,,,,,,,,,,,,,,,,,,0.00,171,0.00,0.0
Demone Harris,2561209,DL,ATL,Bye,,,,,,,,,,,,,,,,,,,172,0.00,
Jalen Harris,2570443,DL,FA,Bye,,,,,,,,,,,,,,,,,,,173,0.00,
Jonathan Harris,2562945,DL,MIA,NE,,,,,,,,,,,,,,,,,,0.00,174,0.00,0.0
Marcus Harris,2572090,DL,FA,Bye,,,,,,,,,,,,,,,,,,,175,0.00,
Shelby Harris,2549926,DL,CLE,PIT,,,,,,,,,,,,,,,,,,1.04,176,0.00,-1.04
Zach Harrison,2569555,DL,ATL,Bye,,,,,,,,,,,,,,,,,,,177,0.00,
Marcus Haynes,2570909,DL,CLE,PIT,,,,,,,,,,,,,,,,,,0.00,178,0.00,0.0
Bruce Hector,2561338,DL,NYJ,Bye,,,,,,,,,,,,,,,,,,,179,0.00,
Jack Heflin,2566929,DL,FA,Bye,,,,,,,,,,,,,,,,,,,180,0.00,
Trey Hendrickson,2557943,DL,CIN,Bye,,,,,,,,,,,,,,,,,,,181,0.00,
Matt Henningsen,2567523,DL,DEN,@LV,,,,,,,,,,,,,,,,,,0.00,182,0.00,0.0
KJ Henry,2570374,DL,DAL,@WAS,,,,,,,,,,,,,,,,,,1.13,183,0.00,-1.13
Malik Herring,2566992,DL,KC,@CAR,,,,,,,,,,,,,,,,,,0.50,184,0.00,-0.5
Cameron Heyward,2508109,DL,PIT,@CLE,,,,,,,,,,,,,,,,,,5.77,185,0.00,-5.77
B.J. Hill,2560740,DL,CIN,Bye,,,,,,,,,,,,,,,,,,,186,0.00,
Trysten Hill,2562663,DL,NE,@MIA,,,,,,,,,,,,,,,,,,0.00,187,0.00,0.0
Kurt Hinish,2568876,DL,HOU,TEN,,,,,,,,,,,,,,,,,,0.56,188,0.00,-0.56
Christopher Hinton,2569146,DL,LAC,BAL,,,,,,,,,,,,,,,,,,0.00,189,0.00,0.0
Jalyn Holmes,2560744,DL,NYJ,Bye,,,,,,,,,,,,,,,,,,,190,0.00,
Timmy Horne,2568513,DL,NYG,TB,,,,,,,,,,,,,,,,,,0.00,191,0.00,0.0
Dylan Horton,2569828,DL,HOU,TEN,,,,,,,,,,,,,,,,,,1.16,192,0.00,-1.16
Phil Hoskins,2565896,DL,DAL,@WAS,,,,,,,,,,,,,,,,,,0.00,193,0.00,0.0
James Houston,2567544,DL,DET,@IND,,,,,,,,,,,,,,,,,,2.19,194,0.00,-2.19
Sam Hubbard,2560745,DL,CIN,Bye,,,,,,,,,,,,,,,,,,,195,0.00,
Bryce Huff,2565510,DL,PHI,@LAR,,,,,,,,,,,,,,,,,,4.66,196,0.00,-4.66
Albert Huggins,2562667,DL,FA,Bye,,,,,,,,,,,,,,,,,,,197,0.00,
Jerry Hughes,496796,DL,HOU,TEN,,,,,,,,,,,,,,,,,,0.00,198,0.00,0.0
Jalyx Hunt,2572378,DL,PHI,@LAR,,,,,,,,,,,,,,,,,,2.42,199,0.00,-2.42
