PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Rasul Douglas,2558168,DB,MIA,@NYJ,1.65,0.53,,,0.12,0.06,,,,,,,,0.29,,2.12,,4.22,133,151,0.00,-4.22
Michael Dowell,2572992,DB,FA,Bye,,,,,,,,,,,,,,,,,,,324,152,0.00,
Storm Duck,2573259,DB,MIA,@NYJ,,,,,,,,,,,,,,,,,,0.00,325,153,0.00,0.0
Kyle Dugger,2564601,DB,PIT,@BAL,3.06,0.74,0.08,0.33,0.08,0.08,,,,,,,,0.17,0.17,,,6.76,78,154,0.00,-6.76
Isaiah Dunn,2565720,DB,FA,Bye,,,,,,,,,,,,,,,,,,,326,155,0.00,
Cobie Durant,2567826,DB,LAR,@ARI,2.34,1.09,0.08,0.23,0.16,0.08,,0.08,,,,,,0.78,0.23,5.23,,8.07,44,156,0.00,-8.07
Brandin Echols,2565726,DB,PIT,@BAL,1.92,0.66,,0.06,0.06,,,,,,,,,0.3,,0.96,,4.36,131,157,0.00,-4.36
Chris Edmonds,2573025,DB,CLE,TEN,,,,,,,,,,,,,,,,,,0.00,327,158,0.00,0.0
Terrell Edmunds,2560712,DB,LV,DEN,,,,,,,,,,,,,,,,,,0.00,328,159,0.00,0.0
Johnathan Edwards,2574186,DB,IND,@JAX,,,,,,,,,,,,,,,,,,0.00,329,160,0.00,0.0
Mike Edwards,2562259,DB,KC,HOU,,,,,,,,,,,,,,,,,,0.00,330,161,0.00,0.0
Kaiir Elam,2567331,DB,TEN,@CLE,1.11,0.56,,0.1,0.05,,,,,,,,,0.25,,,,2.95,163,162,0.00,-2.95
DeShon Elliott,2560715,DB,PIT,@BAL,,,,,,,,,,,,,,,,,,0.00,331,163,0.00,0.0
Martin Emerson,2567466,DB,CLE,TEN,,,,,,,,,,,,,,,,,,0.00,332,164,0.00,0.0
Nick Emmanwori,2574558,DB,SEA,@ATL,1.82,1.47,0.06,0.12,0.12,0.06,,,,,,,,0.24,0.18,,,5.23,113,165,0.00,-5.23
Marcus Epps,2562946,DB,PHI,@LAC,,,,,,,,,,,,,,,,,,0.00,333,166,0.00,0.0
Akayleb Evans,2567913,DB,CAR,Bye,,,,,,,,,,,,,,,,,,,334,167,0.00,
JayVian Farr,2574662,DB,FA,Bye,,,,,,,,,,,,,,,,,,,335,168,0.00,
AJ Finley,2571294,DB,SEA,@ATL,,,,,,,,,,,,,,,,,,0.00,336,169,0.00,0.0
Minkah Fitzpatrick,2560725,DB,MIA,@NYJ,3.9,1.44,,0.06,0.12,0.06,,,,,,,,0.3,,2.64,,8.27,41,170,0.00,-8.27
Cordale Flott,2567997,DB,NYG,Bye,,,,,,,,,,,,,,,,,,,337,171,0.00,
Dallis Flowers,2568906,DB,CHI,@GB,,,,,,,,,,,,,,,,,,0.00,338,172,0.00,0.0
Tre Flowers,2560728,DB,FA,Bye,,,,,,,,,,,,,,,,,,,339,173,0.00,
Tra Fluellen,2573905,DB,FA,Bye,,,,,,,,,,,,,,,,,,,340,174,0.00,
Emmanuel Forbes,2570371,DB,LAR,@ARI,1.61,0.64,,,,,,,,,,,,0.21,,,,3.32,152,175,0.00,-3.32
Mike Ford,2561527,DB,ATL,SEA,0.12,0.24,,,,,,,,,,,,0.12,,,,0.62,226,176,0.00,-0.62
Darrick Forrest,2566598,DB,FA,Bye,,,,,,,,,,,,,,,,,,,341,177,0.00,
O'Donnell Fortune,2574423,DB,FA,Bye,,,,,,,,,,,,,,,,,,,342,178,0.00,
Sam Franklin Jr.,2563638,DB,BUF,CIN,0.12,0.18,,,0.06,,0.06,,,,,,,0.06,,,,0.71,216,179,0.00,-0.71
Zah Frazier,2574009,DB,CHI,@GB,,,,,,,,,,,,,,,,,,0.00,343,180,0.00,0.0
Jordan Fuller,2564340,DB,ATL,SEA,2.95,1.25,,,0.06,0.06,,,,,,,,0.23,,0.79,,6.20,96,181,0.00,-6.2
Kristian Fulton,2564046,DB,KC,HOU,2.33,0.67,,0.13,0.07,,,,,,,,,0.33,,1.2,,5.20,114,182,0.00,-5.2
Tyrek Funderburk,2573563,DB,MIN,WAS,,,,,,,,,,,,,,,,,,0.00,344,183,0.00,0.0
Keenan Garber,2574346,DB,FA,Bye,,,,,,,,,,,,,,,,,,,345,184,0.00,
Sauce Gardner,2568027,DB,IND,@JAX,,,,,,,,,,,,,,,,,,0.00,346,185,0.00,0.0
C.J. Gardner-Johnson,2562588,DB,CHI,@GB,,,,,,,,,,,,,,,,,,0.00,347,186,0.00,0.0
Mekhi Garner,2570644,DB,FA,Bye,,,,,,,,,,,,,,,,,,,348,187,0.00,
Allan George,2568591,DB,FA,Bye,,,,,,,,,,,,,,,,,,,349,188,0.00,
Isaac Gifford,2573982,DB,FA,Bye,,,,,,,,,,,,,,,,,,,350,189,0.00,
Alohi Gilman,2565042,DB,BAL,PIT,5.08,1.39,0.08,0.15,0.15,,,,,,,,,0.46,,3.16,,10.62,8,190,0.00,-10.62
Stephon Gilmore,2533062,DB,FA,Bye,,,,,,,,,,,,,,,,,,,351,191,0.00,
Steven Gilmore,2570954,DB,FA,Bye,,,,,,,,,,,,,,,,,,,352,192,0.00,
Christian Gonzalez,2570122,DB,NE,Bye,,,,,,,,,,,,,,,,,,,353,193,0.00,
Mario Goodrich,2568084,DB,FA,Bye,,,,,,,,,,,,,,,,,,,354,194,0.00,
C.J. Goodwin,2550767,DB,DAL,@DET,,,,,,,,,,,,,,,,,,0.00,355,195,0.00,0.0
Kyler Gordon,2567391,DB,CHI,@GB,2.74,1.26,0.06,0.17,0.11,0.06,0.06,,,,,,,0.34,0.11,1.94,,6.87,73,196,0.00,-6.87
Thomas Graham Jr.,2565923,DB,FA,Bye,,,,,,,,,,,,,,,,,,,356,197,0.00,
Richie Grant,2565818,DB,NE,Bye,,,,,,,,,,,,,,,,,,,357,198,0.00,
J.T. Gray,2561206,DB,TB,NO,,,,,,,,,,,,,,,,,,0.00,358,199,0.00,0.0
A.J. Green,2563782,DB,MIA,@NYJ,0.48,0.32,,,0.05,,,,,,,,,0.16,,,,1.49,190,200,0.00,-1.49
