PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Jaret Patterson,2567160,RB,WAS,,,,74,2,9,,,,,,19.83,20,2,22,2,3,67,,1,,106,9.30
Adrian Peterson,2507164,RB,TEN,,,,21,1,5,,,,,,17.06,10,1,11,1,1,100,,3,2,107,9.10
Jalen Richard,2556885,RB,LV,,,,8,7,42,,,,,,21.46,5,7,12,7,9,78,2,2,1,108,8.50
Larry Rountree III,2566505,RB,LAC,,,,72,1,-1,,,,,,24.00,29,1,30,1,2,50,,6,2,109,8.40
Johnny Stanton,2561489,RB,CLE,,,,5,2,7,1,,,,,21.57,2,2,4,2,2,100,1,1,1,110,8.20
Rodney Smith,2563680,RB,FA,,,,,5,48,,,,,,,,,,,,,,,,111,8.10
Gary Brightwell,2566364,RB,NYG,,,,4,1,6,,,,,,,,,,,,,,,,112,7.20
Kene Nwangwu,2566313,RB,MIN,,,,9,,,,1,,,,25.78,1,,1,,,,,,,113,6.90
Benny Snell,2562743,RB,PIT,,,,27,1,7,,,,,,28.88,10,1,11,1,3,33,,,,114,6.40
Gabe Nabers,2565066,RB,LAC,,,,2,3,17,,,,,,24.00,1,3,4,3,3,100,,,,115,5.90
Jason Cabinda,2560986,RB,DET,,,,,1,4,,,,,,17.09,,1,1,1,2,50,,,,116,5.10
Kylin Hill,2566076,RB,GB,,,,24,1,5,,,,,,27.16,10,1,11,1,2,50,,,,117,5.10
Michael Burton,2552636,RB,KC,,,,9,1,11,,,,,,23.23,3,1,4,1,1,100,,,,118,5.00
Jakob Johnson,2562890,RB,NE,,,,,3,34,,,,,,18.96,,3,3,3,4,75,1,1,1,119,4.90
Joshua Kelley,2565054,RB,LAC,,,,30,1,4,,,,,,24.00,9,1,10,1,1,100,,,,120,3.90
Taiwan Jones,2495467,RB,BUF,,,,,,,,,,,,35.09,,,,,,,,,,121,3.50
Khari Blasingame,2562869,RB,TEN,,,,,,,,,,,,17.06,,,,,,,,,,122,3.40
Corey Clement,2559150,RB,DAL,,,,,,,,,,,,24.56,3,,3,,,,,,,123,3.40
Wayne Gallman,2557952,RB,ATL,,,,33,,,,,,,,19.64,8,,8,,1,,,,,124,3.30
Cullen Gillaspia,2562906,RB,NYG,,,,,,,,,,,,,,,,,,,,,,125,3.30
Scottie Phillips,2564085,RB,HOU,,,,13,2,9,,,,,,,,,,,,,,,,126,3.20
Jake Funk,2566208,RB,LA,,,,6,,,,,,,,24.25,1,,1,,,,,,,127,3.10
Ryan Nall,2560817,RB,CHI,,,,4,1,4,,,,,,,,,,,,,,,,128,3.00
D'Onta Foreman,2557994,RB,TEN,,,,29,,,,,,,,17.06,5,,5,,,,,1,1,129,2.90
Darrynton Evans,2564043,RB,TEN,,,,7,2,11,,,,,,17.06,2,2,4,2,2,100,,,,130,2.80
Buddy Howell,2561344,RB,LA,,,,11,,,,,,,,24.25,5,,5,,,,,,,131,2.80
Ke'Shawn Vaughn,2565258,RB,TB,,,,27,,,,,,,,22.89,5,,5,,,,,,,132,2.70
Rashaad Penny,2560835,RB,SEA,,,,24,,,,,,,,22.02,15,,15,,,,,3,2,133,2.40
Dwayne Washington,2556118,RB,NO,,,,5,1,6,,,,,,19.54,1,1,2,1,1,100,,,,134,2.40
Raheem Mostert,2553728,RB,SF,,,,20,,,,,,,,21.67,2,,2,,,,,,,135,2.00
Kalen Ballage,2560967,RB,PIT,,,,12,1,2,,,,,,28.88,7,1,8,1,2,50,,,,136,1.90
Jordan Wilkins,2560933,RB,JAX,,,,,,,,,,,,16.62,,,,,1,,,,,137,1.70
Mike Boone,2561099,RB,DEN,,,,,1,3,,,,,,25.90,,1,1,1,1,100,,,,138,1.60
Patrick Laird,2563296,RB,MIA,,,,,1,10,,,,,,23.99,,1,1,1,1,100,,,,139,1.50
John Kelly,2560777,RB,CLE,,,,13,,,,,,,,21.57,2,,2,,,,,,,140,1.30
Trayveon Williams,2562600,RB,CIN,,,,13,,,,,,,,,,,,,,,,,,141,1.30
Jacques Patrick,2563737,RB,FA,,,,12,,,,,,,,,,,,,,,,,,142,1.20
Devine Ozigbo,2562409,RB,JAX,,,,-3,1,7,,,,,,16.62,1,1,2,1,1,100,,,,143,0.90
Damarea Crockett,2563223,RB,DEN,,,,7,,,,,,,,25.90,3,,3,,,,,3,,144,0.70
Matt Breida,2558918,RB,BUF,,,,4,,,,,,,,35.09,4,,4,,,,,,,145,0.40
Mekhi Sargent,2566962,RB,LA,,,,4,,,,,,,,24.25,2,,2,,,,,,,146,0.40
La'Mical Perine,2564808,RB,NYJ,,,,3,,,,,,,,15.01,2,,2,,,,,,,147,0.30
Anthony McFarland,2564994,RB,PIT,,,,1,,,,,,,,28.88,1,,1,,,,,,,148,0.10
Josh Adams,2560949,RB,FA,,,,,,,,,,,,,,,,,,,,,,149,0.00
Cam Akers,2564319,RB,LA,,,,,,,,,,,,24.25,,,,,,,,,,150,0.00
Darius Anderson,2563824,RB,FA,,,,,,,,,,,,,,,,,,,,,,151,0.00
Ryquell Armstead,2562622,RB,GB,,,,,,,,,,,,27.16,,,,,,,,,,152,0.00
Jake Bargas,2564508,RB,MIN,,,,,,,,,,,,25.78,,,,,,,,,,153,0.00
Nick Bawden,2560972,RB,NYJ,,,,,,,,,,,,15.01,,,,,,,,,,154,0.00
Levante Bellamy,2563878,RB,DEN,,,,,,,,,,,,25.90,,,,,,,,,,155,0.00
Reggie Bonnafon,2561184,RB,CAR,,,,,,,,,,,,18.63,,,,,,,,,,156,0.00
Darius Bradwell,2565015,RB,LAC,,,,,,,,,,,,24.00,,,,,,,,,,157,0.00
Tony Brooks-James,2563300,RB,FA,,,,,,,,,,,,,,,,,,,,,,158,0.00
Spencer Brown,2565558,RB,CAR,,,,,,,,,,,,18.63,,,,,,,,,,159,0.00
Raymond Calais,2565207,RB,LA,,,,,,,,,,,,24.25,,,,,,,,,,160,0.00
Patrick Carr,2565138,RB,FA,,,,,,,,,,,,,,,,,,,,,,161,0.00
Jordan Chunn,2561308,RB,FA,,,,,,,,,,,,,,,,,,,,,,162,0.00
Darius Clark,2565561,RB,FA,,,,,,,,,,,,,,,,,,,,,,163,0.00
Tarik Cohen,2558250,RB,CHI,,,,,,,,,,,,,,,,,,,,,,164,0.00
Nathan Cottrell,2564175,RB,JAX,,,,,,,,,,,,16.62,,,,,,,,,,165,0.00
Mikey Daniel,2563476,RB,FA,,,,,,,,,,,,,,,,,,,,,,166,0.00
Matt Dayes,2557987,RB,FA,,,,,,,,,,,,,,,,,,,,,,167,0.00
Gerrid Doaks,2566277,RB,MIA,,,,,,,,,,,,23.99,,,,,,,,,,168,0.00
J.K. Dobbins,2563548,RB,BAL,,,,,,,,,,,,22.11,,,,,,,,,,169,0.00
Rico Dowdle,2565295,RB,DAL,,,,,,,,,,,,24.56,,,,,,,,,,170,0.00
Trey Edmunds,2559325,RB,PIT,,,,,,,,,,,,28.88,,,,,,,,,,171,0.00
Gus Edwards,2561324,RB,BAL,,,,,,,,,,,,22.11,,,,,,,,,,172,0.00
Travis Etienne,2566157,RB,JAX,,,,,,,,,,,,16.62,,,,,,,,,,173,0.00
Tavien Feaster,2564187,RB,ARI,,,,,,,,,,,,17.74,,,,,,,,,,174,0.00
D.J. Foster,2556528,RB,FA,,,,,,,,,,,,,,,,,,,,,,175,0.00
Tyler Gaffney,2543655,RB,FA,,,,,,,,,,,,,,,,,,,,,,176,0.00
Garrett Groshek,2565645,RB,FA,,,,,,,,,,,,,,,,,,,,,,177,0.00
Pete Guerrerio,2565539,RB,FA,,,,,,,,,,,,,,,,,,,,,,178,0.00
Todd Gurley,2552475,RB,FA,,,,,,,,,,,,,,,,,,,,,,179,0.00
Javian Hawkins,2566689,RB,LA,,,,,,,,,,,,24.25,,,,,,,,,,180,0.00
Brian Hill,2558112,RB,FA,,,,,,,,,,,,,,,,,,,,,,181,0.00
Justice Hill,2562407,RB,BAL,,,,,,,,,,,,22.11,,,,,,,,,,182,0.00
Dontrell Hilliard,2561461,RB,TEN,,,,,,,,,,,,17.06,,,,,,,,,,183,0.00
Josh Hokit,2565111,RB,SF,,,,,,,,,,,,21.67,,,,,,,,,,184,0.00
