PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Jibri Blount,2565672,TE,FA,,,,,,,,,,,,,,,,,,,,,,110,0.00
Nick Bowers,2564415,TE,LV,,,,,,,,,,,,9.66,,,,,,,,,,111,0.00
Nick Boyle,2552402,TE,BAL,,,,,,,,,,,,7.40,,,,,,,,,,112,0.00
Jacob Breeland,2565321,TE,FA,,,,,,,,,,,,,,,,,,,,,,113,0.00
Hunter Bryant,2563923,TE,DET,,,,,,,,,,,,,,,,,,,,,,114,0.00
Ian Bunting,2563073,TE,FA,,,,,,,,,,,,,,,,,,,,,,115,0.00
Trey Burton,2550284,TE,FA,,,,,,,,,,,,,,,,,,,,,,116,0.00
Matt Bushman,2565639,TE,FA,,,,,,,,,,,,,,,,,,,,,,117,0.00
Jake Butt,2557859,TE,FA,,,,,,,,,,,,,,,,,,,,,,118,0.00
Stephen Carlson,2563044,TE,CLE,,,,,,,,,,,,7.94,,,,,,,,,,119,0.00
Darion Clark,2563434,TE,FA,,,,,,,,,,,,,,,,,,,,,,120,0.00
Jason Croom,2559159,TE,PHI,,,,,,,,,,,,14.21,,,,,,,,,,121,0.00
Dominique Dafney,2565540,TE,GB,,,,,,,,,,,,15.01,,,,,,,,,,122,0.00
Zach Davidson,2566301,TE,FA,,,,,,,,,,,,,,,,,,,,,,123,0.00
Seth DeValve,2556365,TE,FA,,,,,,,,,,,,,,,,,,,,,,124,0.00
Brandon Dillon,2562984,TE,FA,,,,,,,,,,,,,,,,,,,,,,125,0.00
Tyler Eifert,2540148,TE,FA,,,,,,,,,,,,,,,,,,,,,,126,0.00
Ben Ellefson,2564181,TE,MIN,,,,,,,,,,,,16.71,,,,,1,,,,,127,0.00
Austin Fort,2563037,TE,FA,,,,,,,,,,,,,,,,,,,,,,128,0.00
Jordan Franks,2561330,TE,FA,,,,,,,,,,,,,,,,,,,,,,129,0.00
Troy Fumagalli,2560734,TE,NE,,,,,,,,,,,,9.54,,,,,,,,,,130,0.00
Jaeden Graham,2561622,TE,ATL,,,,,,,,,,,,6.56,,,,,,,,,,131,0.00
Farrod Green,2564121,TE,FA,,,,,,,,,,,,,,,,,,,,,,132,0.00
Nakie Griffin-Stewart,2564544,TE,FA,,,,,,,,,,,,,,,,,,,,,,133,0.00
Nick Guggemos,2565804,TE,FA,,,,,,,,,,,,,,,,,,,,,,134,0.00
Jacob Harris,2566220,TE,LA,,,,,,,,,,,,7.93,,,,,,,,,,135,0.00
Daniel Helm,2562284,TE,LV,,,,,,,,,,,,9.66,,,,,,,,,,136,0.00
Temarrick Hemingway,2555486,TE,FA,,,,,,,,,,,,,,,,,,,,,,137,0.00
Hale Hentges,2563066,TE,FA,,,,,,,,,,,,,,,,,,,,,,138,0.00
Cole Hikutini,2558953,TE,FA,,,,,,,,,,,,,,,,,,,,,,139,0.00
Josh Hill,2541834,TE,FA,,,,,,,,,,,,,,,,,,,,,,140,0.00
Brycen Hopkins,2564349,TE,LA,,,,,,,,,,,,7.93,,,,,,,,,,141,0.00
Tanner Hudson,2561215,TE,FA,,,,,,,,,,,,,,,,,,,,,,142,0.00
Ryan Izzo,2560751,TE,FA,,,,,,,,,,,,,,,,,,,,,,143,0.00
Tyree Jackson,2562435,TE,PHI,,,,,,,,,,,,14.21,,,,,,,,,,144,0.00
Rysen John,2564742,TE,NYG,,,,,,,,,,,,14.40,,,,,,,,,,145,0.00
Hunter Kampmoyer,2566481,TE,FA,,,,,,,,,,,,,,,,,,,,,,146,0.00
Dalton Keene,2564616,TE,NE,,,,,,,,,,,,9.54,,,,,,,,,,147,0.00
Nick Keizer,2561115,TE,FA,,,,,,,,,,,,,,,,,,,,,,148,0.00
Matt LaCosse,2553667,TE,FA,,,,,,,,,,,,,,,,,,,,,,149,0.00
Hunter Long,2566286,TE,MIA,,,,,,,,,,,,14.71,,,,,1,,,,,150,0.00
Tyler Mabry,2565168,TE,SEA,,,,,,,,,,,,,,,,,,,,,,151,0.00
Alize Mack,2562307,TE,FA,,,,,,,,,,,,,,,,,,,,,,152,0.00
Kyle Markway,2564763,TE,FA,,,,,,,,,,,,,,,,,,,,,,153,0.00
Tyree Mayfield,2563145,TE,FA,,,,,,,,,,,,,,,,,,,,,,154,0.00
Vance McDonald,2540215,TE,FA,,,,,,,,,,,,,,,,,,,,,,155,0.00
Codey McElroy,2561239,TE,FA,,,,,,,,,,,,,,,,,,,,,,156,0.00
Sean McKeon,2563854,TE,DAL,,,,,,,,,,,,6.16,,,,,,,,,,157,0.00
Tre' McKitty,2566490,TE,LAC,,,,,,,,,,,,13.64,,,,,,,,,,158,0.00
