PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Cam Sims,2561067,WR,WAS,,,,7,3,52,,,,,,32.68,1,3,4,3,5,60,1,,,149,9.90
Equanimeous St. Brown,2560883,WR,GB,,,,13,3,12,,,,,,29.86,1,3,4,3,6,50,2,2,,150,9.90
Preston Williams,2562805,WR,MIA,,,,7,5,67,,,,,,27.75,1,5,6,5,12,42,1,,,151,9.90
Albert Wilson,2550272,WR,MIA,,,,,8,56,,,,,,27.75,,8,8,8,14,57,1,,,152,9.60
Marcus Johnson,2556855,WR,TEN,,,,-2,4,60,,,,,,36.16,2,4,6,4,12,33,1,,,153,9.50
J.J. Arcega-Whiteside,2562466,WR,PHI,,,,,,,,,,,,28.96,,,,,,,,,,154,9.40
C.J. Board,2558911,WR,NYG,,,,6,4,51,,,,,,,,,,,,,,,,155,9.30
Penny Hart,2562804,WR,SEA,,,,,4,38,,,,,,25.84,,4,4,4,6,67,,,,156,9.20
Isaiah Ford,2558071,WR,MIA,,,,,2,13,1,,,,,27.75,,2,2,2,4,50,1,1,,157,8.30
Antoine Wesley,2562779,WR,ARI,,,,,3,62,,,,,,24.09,,3,3,3,3,100,,,,158,7.70
Dede Westbrook,2557895,WR,MIN,,,,,7,59,,,,,1,21.89,,7,7,7,10,70,1,,,159,7.40
Amari Rodgers,2566091,WR,GB,,,,11,3,40,,,,,2,29.86,1,3,4,3,5,60,1,,,160,7.00
Jake Kumerow,2553548,WR,BUF,,,,,,,,,,,,26.29,,,,,2,,1,,,161,6.80
Stanley Morgan,2562504,WR,CIN,,,,,,,,,,,,,,,,,,,,,,162,6.80
Mike Thomas,2556381,WR,CIN,,,,,4,40,,,,,,,,,,,,,,,,163,6.80
Will Fuller,2555346,WR,MIA,,,,,4,26,,,,1,,27.75,,4,4,4,8,50,,,,164,6.60
Ray-Ray McCloud,2560801,WR,PIT,,,,10,8,66,,,,,3,29.79,1,8,9,8,10,80,,1,,165,6.60
Matthew Slater,4487,WR,NE,,,,,,,,,,,,30.11,,,,,,,,,,166,6.60
Tylan Wallace,2565857,WR,BAL,,,,,,,,,,,,36.10,,,,,,,,,,167,6.60
Dax Milne,2566601,WR,WAS,,,,,4,44,,,,,,32.68,,4,4,4,8,50,1,,,168,6.40
Curtis Samuel,2558066,WR,WAS,,,,8,4,19,,,,,,32.68,1,4,5,4,5,80,1,,,169,6.40
Tyrie Cleveland,2563881,WR,DEN,,,,,,,,,,,,24.72,,,,,1,,1,,,170,5.90
Willie Snead,2550256,WR,CAR,,,,,4,38,,,,,,30.87,,4,4,4,7,57,2,1,1,171,5.80
Michael Gallup,2560735,WR,DAL,,,,,4,36,,,,,,31.78,,4,4,4,7,57,1,,,172,5.60
Alex Erickson,2556519,WR,CAR,,,,,2,42,,,,,,30.87,,2,2,2,2,100,,,,173,5.20
Cody White,2564313,WR,PIT,,,,,2,17,,,,,,29.79,,2,2,2,3,67,,,,174,5.20
Damiere Byrd,2553499,WR,CHI,,,,,4,29,,,,,,,,,,,,,,,,175,4.90
Lil'Jordan Humphrey,2562668,WR,NO,,,,,1,27,,,,,,39.90,,1,1,1,2,50,,,,176,4.90
K.J. Hill,2565048,WR,LAC,,,,,3,30,,,,,,33.45,,3,3,3,3,100,,,,177,4.50
Isaiah McKenzie,2558129,WR,BUF,,,,10,4,14,,,,,,26.29,3,4,7,4,5,80,1,1,1,178,4.40
Tyron Johnson,2562932,WR,JAX,,,,,2,16,,,,,,35.62,,2,2,2,5,40,,,,179,4.30
Jaelon Darden,2566562,WR,TB,,,,11,4,11,,,,,,36.35,1,4,5,4,5,80,,,,180,4.20
Nsimba Webster,2563316,WR,CHI,,,,,,,,,,,1,,,,,,,,,,,181,3.90
Mike Strachan,2565615,WR,IND,,,,,2,26,,,,,,32.43,,2,2,2,3,67,,,,182,3.60
D'Wayne Eskridge,2566553,WR,SEA,,,,22,1,6,,,,,,25.84,2,1,3,1,1,100,,,,183,3.30
Keith Kirkwood,2561224,WR,CAR,,,,,3,17,,,,,,30.87,,3,3,3,6,50,1,,1,184,3.20
Trenton Irwin,2562900,WR,CIN,,,,,1,25,,,,,,,,,,,,,,,,185,3.00
Shi Smith,2565908,WR,CAR,,,,-3,3,18,,,,,,30.87,1,3,4,3,5,60,1,1,,186,3.00
Juwann Winfree,2562956,WR,GB,,,,,4,30,,,,,1,29.86,,4,4,4,6,67,2,1,1,187,3.00
Malik Taylor,2562995,WR,GB,,,,,2,14,,,,,1,29.86,,2,2,2,3,67,2,2,,188,2.90
Andy Isabella,2562669,WR,ARI,,,,,,,,,,,,24.09,,,,,,,,,,189,2.50
Gunner Olszewski,2563329,WR,NE,,,,,1,22,,,,,1,30.11,,1,1,1,1,100,,,,190,2.50
Tyrell Williams,2553913,WR,FA,,,,,2,14,,,,,,,,,,,,,,,,191,2.40
Scott Miller,2562865,WR,TB,,,,,2,11,,,,,,36.35,,2,2,2,3,67,,,,192,2.10
Tom Kennedy,2563319,WR,FA,,,,,1,15,,,,,,,,,,,,,,,,193,2.00
Andre Roberts,497320,WR,LAC,,,,9,1,35,,,,,2,33.45,1,1,2,1,2,50,,,,194,1.90
Kirk Merritt,2564481,WR,MIA,,,,,1,13,,,,,,27.75,,1,1,1,3,33,,,,195,1.80
Phillip Dorsett,2552424,WR,SEA,,,,,1,3,,,,,,25.84,,1,1,1,2,50,1,1,,196,1.60
Josh Gordon,2537931,WR,KC,,,,,1,11,,,,,,22.14,,1,1,1,4,25,1,,1,197,1.60
Racey McMath,2566112,WR,TEN,,,,,,,,,,,,36.16,,,,,1,,1,,,198,1.60
Dezmon Patmon,2564130,WR,IND,,,,,1,7,,,,,,32.43,,1,1,1,1,100,,,,199,1.20
Miles Boykin,2562631,WR,BAL,,,,,1,6,,,,,,36.10,,1,1,1,1,100,,,,200,1.10
Ihmir Smith-Marsette,2566319,WR,MIN,,,,,1,6,,,,,,21.89,,1,1,1,1,100,,,,201,1.10
Keke Coutee,2561029,WR,IND,,,,,1,5,,,,,,32.43,,1,1,1,1,100,,,,202,1.00
Pharoh Cooper,2555419,WR,NYG,,,,,,,,,,,,,,,,,,,,,,203,0.80
Diontae Spencer,2550734,WR,DEN,,,,,1,-3,,,,,,24.72,,1,1,1,3,33,1,,1,204,0.20
Rodney Adams,2558047,WR,CHI,,,,,,,,,,,,,,,,,,,,,,205,0.00
Quincy Adeboyejo,2558906,WR,FA,,,,,,,,,,,,,,,,,,,,,,206,0.00
Landen Akers,2566193,WR,LA,,,,,,,,,,,,28.65,,,,,,,,,,207,0.00
Geronimo Allison,2556460,WR,DET,,,,,,,,,,,,31.85,,,,,2,,1,,,208,0.00
Marcell Ateman,2560961,WR,LV,,,,,,,,,,,,29.21,,,,,,,,,,209,0.00
Andre Baccellia,2564250,WR,ARI,,,,,,,,,,,,24.09,,,,,,,,,,210,0.00
Alex Bachman,2563301,WR,NYG,,,,,,,,,,,,,,,,,,,,,,211,0.00
Manasseh Bailey,2564817,WR,FA,,,,,,,,,,,,,,,,,,,,,,212,0.00
Kawaan Baker,2566349,WR,NO,,,,,,,,,,,,39.90,,,,,,,,,,213,0.00
Omar Bayless,2563623,WR,FA,,,,,,,,,,,,,,,,,,,,,,214,0.00
Chad Beebe,2561482,WR,MIN,,,,,,,,,,,,21.89,,,,,,,,,,215,0.00
Reggie Begelton,2563446,WR,FA,,,,,,,,,,,,,,,,,,,,,,216,0.00
Travis Benjamin,2532790,WR,SF,,,,,,,,,,,,28.88,,,,,3,,,,,217,0.00
Tarik Black,2565594,WR,IND,,,,,,,,,,,,32.43,,,,,,,,,,218,0.00
Justin Blackmon,2533038,WR,FA,,,,,,,,,,,,,,,,,,,,,,219,0.00
Chris Blair,2565588,WR,GB,,,,,,,,,,,,29.86,,,,,,,,,,220,0.00
Victor Bolden,2558912,WR,FA,,,,,,,,,,,,,,,,,,,,,,221,0.00
Lynn Bowden,2564412,WR,MIA,,,,,,,,,,,,27.75,,,,,,,,,,222,0.00
Ja'Marcus Bradley,2563761,WR,CLE,,,,,,,,,,,,28.58,,,,,,,,,,223,0.00
Fred Brown,2559396,WR,FA,,,,,,,,,,,,,,,,,,,,,,224,0.00
John Brown,2543847,WR,JAX,,,,,,,,,,,,35.62,,,,,1,,,,,225,0.00
Tony Brown,2563764,WR,FA,,,,,,,,,,,,,,,,,,,,,,226,0.00
Dez Bryant,497278,WR,FA,,,,,,,,,,,,,,,,,,,,,,227,0.00
Ventell Bryant,2563267,WR,FA,,,,,,,,,,,,,,,,,,,,,,228,0.00
Rico Bussey,2565780,WR,PIT,,,,,,,,,,,,29.79,,,,,,,,,,229,0.00
Hakeem Butler,2562491,WR,FA,,,,,,,,,,,,,,,,,,,,,,230,0.00
Lawrence Cager,2565492,WR,CLE,,,,,,,,,,,,28.58,,,,,,,,,,231,0.00
Deon Cain,2560987,WR,PHI,,,,,,,,,,,,28.96,,,,,,,,,,232,0.00
Antonio Callaway,2560988,WR,FA,,,,,,,,,,,,,,,,,,,,,,233,0.00
Jalen Camp,2566148,WR,HOU,,,,,,,,,,,,,,,,,,,,,,234,0.00
Dylan Cantrell,2560990,WR,WAS,,,,,,,,,,,,32.68,,,,,,,,,,235,0.00
Dan Chisena,2564514,WR,MIN,,,,,,,,,,,,21.89,,,,,,,,,,236,0.00
Matt Cole,2564442,WR,CAR,,,,,,,,,,,,30.87,,,,,,,,,,237,0.00
Isaiah Coulter,2564067,WR,CHI,,,,,,,,,,,,,,,,,,,,,,238,0.00
River Cracraft,2559485,WR,SF,,,,,,,,,,,,28.88,,,,,,,,,,239,0.00
Frank Darby,2565812,WR,ATL,,,,,,,,,,,,34.06,,,,,,,,,,240,0.00
