PlayerName,PlayerId,Pos,Team,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TangetsReceptions,Rank,TotalPoints
Patrick Carr,2565138,RB,FA,,,,,,,,,,,,,,,,,113,0.00
Chris Carson,2558865,RB,SEA,,,,,,,,,,,,,,,,,114,0.00
Jordan Chunn,2561308,RB,FA,,,,,,,,,,,,,,,,,115,0.00
Darius Clark,2565561,RB,FA,,,,,,,,,,,,,,,,,116,0.00
Corey Clement,2559150,RB,DAL,,,,,,,,,,,,19.99,,,,,117,0.00
Tarik Cohen,2558250,RB,CHI,,,,,,,,,,,,17.81,,,,,118,0.00
Dalvin Cook,2557991,RB,MIN,,,,,,,,,,,,23.90,,,,,119,0.00
Nathan Cottrell,2564175,RB,FA,,,,,,,,,,,,,,,,,120,0.00
Damarea Crockett,2563223,RB,FA,,,,,,,,,,,,,,,,,121,0.00
Mikey Daniel,2563476,RB,FA,,,,,,,,,,,,,,,,,122,0.00
Matt Dayes,2557987,RB,FA,,,,,,,,,,,,,,,,,123,0.00
Gerrid Doaks,2566277,RB,FA,,,,,,,,,,,,,,,,,124,0.00
J.K. Dobbins,2563548,RB,BAL,,,,,,,,,,,,21.89,,,,,125,0.00
Rico Dowdle,2565295,RB,DAL,,,,,,,,,,,,19.99,,,,,126,0.00
Trey Edmunds,2559325,RB,FA,,,,,,,,,,,,,,,,,127,0.00
Gus Edwards,2561324,RB,BAL,,,,,,,,,,,,21.89,,,,,128,0.00
Travis Etienne,2566157,RB,JAX,,,,,,,,,,,,16.19,,,,,129,0.00
Darrynton Evans,2564043,RB,TEN,,,,,,,,,,,,22.25,,,,,130,0.00
Tavien Feaster,2564187,RB,FA,,,,,,,,,,,,,,,,,131,0.00
D'Onta Foreman,2557994,RB,FA,,,,,,,,,,,,,,,,,132,0.00
D.J. Foster,2556528,RB,FA,,,,,,,,,,,,,,,,,133,0.00
Jake Funk,2566208,RB,LA,,,,,,,,,,,,19.88,,,,,134,0.00
Tyler Gaffney,2543655,RB,FA,,,,,,,,,,,,,,,,,135,0.00
Cullen Gillaspia,2562906,RB,NYG,,,,,,,,,,,,24.06,,,,,136,0.00
Derrick Gore,2563347,RB,KC,,,,,,,,,,,,22.81,,,,,137,0.00
Garrett Groshek,2565645,RB,FA,,,,,,,,,,,,,,,,,138,0.00
Pete Guerrerio,2565539,RB,FA,,,,,,,,,,,,,,,,,139,0.00
Todd Gurley,2552475,RB,FA,,,,,,,,,,,,,,,,,140,0.00
JaMycal Hasty,2565108,RB,SF,,,,,,,,,,,,18.49,,,,,141,0.00
Javian Hawkins,2566689,RB,FA,,,,,,,,,,,,,,,,,142,0.00
Brian Hill,2558112,RB,FA,,,,,,,,,,,,,,,,,143,0.00
Justice Hill,2562407,RB,BAL,,,,,,,,,,,,21.89,,,,,144,0.00
Dontrell Hilliard,2561461,RB,FA,,,,,,,,,,,,,,,,,145,0.00
Josh Hokit,2565111,RB,FA,,,,,,,,,,,,,,,,,146,0.00
Elijah Holyfield,2562664,RB,FA,,,,,,,,,,,,,,,,,147,0.00
Jordan Howard,2555418,RB,FA,,,,,,,,,,,,,,,,,148,0.00
Buddy Howell,2561344,RB,LA,,,,,,,,,,,,19.88,,,,,149,0.00
Caleb Huntley,2566692,RB,FA,,,,,,,,,,,,,,,,,150,0.00
Jason Huntley,2563938,RB,FA,,,,,,,,,,,,,,,,,151,0.00
Alec Ingold,2562288,RB,LV,,,,,,,,,,,,24.35,,,,,152,0.00
Deon Jackson,2565603,RB,IND,,,,,,,,,,,,32.84,,,,,153,0.00
Justin Jackson,2560756,RB,LAC,,,,,,,,,,,,27.73,,,,,154,0.00
Andy Janovich,2555432,RB,CLE,,,,,,,,,,,,23.83,,,,,155,0.00
Jermar Jefferson,2566058,RB,DET,,,,,,,,,,,,,,,,,156,0.00
D'Ernest Johnson,2563327,RB,CLE,,,,,,,,,,,,23.83,,,,,157,0.00
Duke Johnson,2552461,RB,FA,,,,,,,,,,,,,,,,,158,0.00
Jakob Johnson,2562890,RB,NE,,,,,,,,,,,,16.19,,,,,159,0.00
Kerryon Johnson,2560765,RB,FA,,,,,,,,,,,,,,,,,160,0.00
Taiwan Jones,2495467,RB,BUF,,,,,,,,,,,,22.33,,,,,161,0.00
Tony Jones,2564679,RB,NO,,,,,,,,,,,,24.00,,,,,162,0.00
Xavier Jones,2564364,RB,LA,,,,,,,,,,,,19.88,,,,,163,0.00
