PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Brett Rypien,2562718,QB,DEN,PHI,,,,,,,,,,,,0.00,98,0.00,0.0
Matt Schaub,2505982,QB,FA,Bye,,,,,,,,,,,,,99,0.00,
Kyle Shurmur,2562731,QB,WAS,TB,,,,,,,,,,,,0.00,100,0.00,0.0
Trevor Siemian,2553457,QB,NO,@TEN,,,,,,,,,,,,13.46,101,0.00,-13.46
Reid Sinnett,2565255,QB,PHI,@DEN,,,,,,,,,,,,0.00,102,0.00,0.0
Alex Smith,2506340,QB,FA,Bye,,,,,,,,,,,,,103,0.00,
Geno Smith,2539335,QB,SEA,@GB,,,,,,,,,,,,0.93,104,0.00,-0.93
Matthew Stafford,79860,QB,LA,@SF,,,,,,,,,,,,19.05,105,0.00,-19.05
Nate Stanley,2564577,QB,MIN,@LAC,,,,,,,,,,,,,106,0.00,
Drew Stanton,2495748,QB,FA,Bye,,,,,,,,,,,,,107,0.00,
Tommy Stevens,2564697,QB,FA,Bye,,,,,,,,,,,,,108,0.00,
Easton Stick,2562745,QB,LAC,MIN,,,,,,,,,,,,0.00,109,0.00,0.0
Jarrett Stidham,2562746,QB,NE,CLE,,,,,,,,,,,,0.00,110,0.00,0.0
Chris Streveler,2563458,QB,ARI,CAR,,,,,,,,,,,,0.00,111,0.00,0.0
Nate Sudfeld,2555427,QB,SF,LA,,,,,,,,,,,,0.00,112,0.00,0.0
Tua Tagovailoa,2564499,QB,MIA,BAL,,,,,,,,,,,,17.66,113,0.00,-17.66
Ryan Tannehill,2532956,QB,TEN,NO,,,,,,,,,,,,18.17,114,0.00,-18.17
Tyrod Taylor,2495240,QB,HOU,Bye,,,,,,,,,,,,,115,0.00,
Clayton Thorson,2562762,QB,FA,Bye,,,,,,,,,,,,,116,0.00,
Kyle Trask,2566571,QB,TB,@WAS,,,,,,,,,,,,0.00,117,0.00,0.0
Mitchell Trubisky,2558008,QB,BUF,@NYJ,,,,,,,,,,,,0.00,118,0.00,0.0
P.J. Walker,2558904,QB,CAR,@ARI,,,,,,,,,,,,0.68,119,0.00,-0.68
Deshaun Watson,2558063,QB,HOU,Bye,,,,,,,,,,,,,120,0.00,
Davis Webb,2557897,QB,BUF,@NYJ,,,,,,,,,,,,0.00,121,0.00,0.0
Carson Wentz,2555259,QB,IND,JAX,,,,,,,,,,,,17.76,122,0.00,-17.76
Mike White,2560929,QB,NYJ,BUF,,,,,,,,,,,,14.22,123,0.00,-14.22
Russell Wilson,2532975,QB,SEA,@GB,,,,,,,,,,,,,124,0.00,
Zach Wilson,2566391,QB,NYJ,BUF,,,,,,,,,,,,0.00,125,0.00,0.0
Jameis Winston,2552033,QB,NO,@TEN,,,,,,,,,,,,,126,0.00,
John Wolford,2561718,QB,LA,@SF,,,,,,,,,,,,0.69,127,0.00,-0.69
Logan Woodside,2560942,QB,TEN,NO,,,,,,,,,,,,0.55,128,0.00,-0.55
