PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Lil'Jordan Humphrey,2562668,WR,NO,@TEN,,,,,,,,,,,,0.00,154,0.00,0.0
Adam Humphries,2553895,WR,WAS,TB,,,,,,,,,,,,6.20,155,0.00,-6.2
Jalen Hurd,2562287,WR,SF,LA,,,,,,,,,,,,,156,0.00,
Allen Hurns,2550353,WR,MIA,BAL,,,,,,,,,,,,,157,0.00,
John Hurst,2565222,WR,TB,@WAS,,,,,,,,,,,,0.00,158,0.00,0.0
Ishmael Hyman,2562953,WR,FA,Bye,,,,,,,,,,,,,159,0.00,
Josh Imatorbhebhe,2565621,WR,FA,Bye,,,,,,,,,,,,,160,0.00,
Trenton Irwin,2562900,WR,CIN,Bye,,,,,,,,,,,,,161,0.00,
Andy Isabella,2562669,WR,ARI,CAR,,,,,,,,,,,,1.18,162,0.00,-1.18
Thomas Ives,2563076,WR,FA,Bye,,,,,,,,,,,,,163,0.00,
DeSean Jackson,1581,WR,LV,KC,,,,,,,,,,,,0.00,164,0.00,0.0
Trishton Jackson,2564355,WR,MIN,@LAC,,,,,,,,,,,,0.00,165,0.00,0.0
Richie James,2560761,WR,SF,LA,,,,,,,,,,,,,166,0.00,
Justin Jefferson,2564556,WR,MIN,@LAC,,,,,,,,,,,,14.30,167,0.00,-14.3
Van Jefferson,2564358,WR,LA,@SF,,,,,,,,,,,,7.49,168,0.00,-7.49
Alshon Jeffery,2533039,WR,FA,Bye,,,,,,,,,,,,,169,0.00,
Gary Jennings,2562292,WR,FA,Bye,,,,,,,,,,,,,170,0.00,
Jauan Jennings,2565114,WR,SF,LA,,,,,,,,,,,,1.15,171,0.00,-1.15
Jerry Jeudy,2563896,WR,DEN,PHI,,,,,,,,,,,,8.96,172,0.00,-8.96
Anthony Johnson,2562297,WR,FA,Bye,,,,,,,,,,,,,173,0.00,
Bisi Johnson,2562465,WR,MIN,@LAC,,,,,,,,,,,,,174,0.00,
Cade Johnson,2567115,WR,SEA,@GB,,,,,,,,,,,,0.00,175,0.00,0.0
