PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Trevis Gipson,2563695,LB,CHI,@LV,1,2,1,1,,,,,,,,,,,1,,,2.82,69,7.30,2.82,4.48
Terrell Lewis,2564370,LB,LA,@SEA,1,2,1,1,,,,,,,,,,,1,,,6.61,70,7.30,6.61,0.69
Jordan Jenkins,2555256,LB,HOU,NE,1,4,,1,,,,,,,,,,,1,,,2.71,71,6.90,2.71,4.19
Jermaine Carter,2561093,LB,CAR,PHI,2,1,,,,,,,,,,,,1,,,,6.96,72,6.70,6.96,-0.26
Zach Cunningham,2558094,LB,HOU,NE,2,1,,,,,,,,,,,,1,,,,14.08,73,6.70,14.08,-7.38
Deion Jones,2555162,LB,ATL,NYJ,3,2,,,,,,,,,,,,,,,,12.13,74,6.70,12.13,-5.43
Keanu Neal,2555543,LB,DAL,NYG,3,2,,,,,,,,,,,,,,,,8.04,75,6.70,8.04,-1.34
Anthony Walker,2558851,LB,CLE,@LAC,2,4,,,,,,,,,,,,,,,,12.13,76,6.60,12.13,-5.53
Devin Bush,2562243,LB,PIT,DEN,1,,1,1,,,,,,,,,,,2,,,9.63,77,6.20,9.63,-3.43
Anthony Barr,2543459,LB,MIN,DET,3,1,,,,,,,,,,,,,,,,9.36,78,5.90,9.36,-3.46
Foye Oluokun,2561132,LB,ATL,NYJ,2,3,,,,,,,,,,,,,,,,12.97,79,5.80,12.97,-7.17
Jamie Collins,2539311,LB,NE,@HOU,1,,1,1,,,,,,,,,,,1,,,4.75,80,5.70,4.75,0.95
Andrew Van Ginkel,2562768,LB,MIA,@TB,2,1,,1,,,,,,,,,,,,,,6.56,81,5.70,6.56,-0.86
Rashan Gary,2562376,LB,GB,@CIN,1,4,,,,,,,,,,,,,1,,,5.20,82,5.40,5.2,0.2
Sione Takitaki,2562753,LB,CLE,@LAC,1,4,,,,,,,,,,,,,1,,,3.13,83,5.40,3.13,2.27
Azeez Ojulari,2566367,LB,NYG,@DAL,3,,,,,,,,,,,,,,,,,4.19,84,5.10,4.19,0.91
Robert Quinn,2495485,LB,CHI,@LV,3,,,,,,,,,,,,,,,,,5.38,85,5.10,5.38,-0.28
Zaven Collins,2566421,LB,ARI,SF,2,2,,,,,,,,,,,,,,,,2.20,86,5.00,2.2,2.8
Lavonte David,2532828,LB,TB,MIA,1,1,1,,,,,,,,,,,,1,,,11.39,87,5.00,11.39,-6.39
Myles Jack,2555329,LB,JAX,TEN,2,2,,,,,,,,,,,,,,,,12.21,88,5.00,12.21,-7.21
Kevin Minter,2540159,LB,TB,MIA,2,1,,,,,,,,,,,,,1,,,0.58,89,4.70,0.58,4.12
Akeem Davis-Gaither,2563728,LB,CIN,GB,2,1,,,,,,,,,,,,,,,,,90,4.20,,
Markus Golden,2552273,LB,ARI,SF,2,1,,,,,,,,,,,,,,,,5.84,91,4.20,5.84,-1.64
Khaleke Hudson,2565279,LB,WAS,NO,2,1,,,,,,,,,,,,,,,,0.20,92,4.20,0.2,4.0
Joe Jones,2559200,LB,TEN,@JAX,2,1,,,,,,,,,,,,,,,,0.00,93,4.20,0.0,4.2
E.J. Speed,2562955,LB,IND,@BAL,2,1,,,,,,,,,,,,,,,,0.64,94,4.20,0.64,3.56
Kyle Van Noy,2543699,LB,NE,@HOU,2,1,,,,,,,,,,,,,,,,4.29,95,4.20,4.29,-0.09
Josh Woods,2561626,LB,DET,@MIN,2,1,,,,,,,,,,,,,,,,0.49,96,4.20,0.49,3.71
K.J. Wright,2495252,LB,LV,CHI,2,1,,,,,,,,,,,,,,,,7.10,97,4.20,7.1,-2.9
Bobby Wagner,2532966,LB,SEA,LA,1,3,,,,,,,,,,,,,,,,13.73,98,4.10,13.73,-9.63
Ja'Whaun Bentley,2561143,LB,NE,@HOU,1,2,,,,,,,,,,,,,1,,,8.99,99,3.80,8.99,-5.19
Jake Martin,2561092,LB,HOU,NE,1,,,1,,,,,,,,,,,1,,,3.12,100,3.70,3.12,0.58
Jamin Davis,2566595,LB,WAS,NO,2,,,,,,,,,,,,,,,,,6.57,101,3.40,6.57,-3.17
Willie Gay Jr.,2564280,LB,KC,BUF,2,,,,,,,,,,,,,,,,,2.74,102,3.40,2.74,0.66
Joe Thomas,2550262,LB,BAL,IND,2,,,,,,,,,,,,,,,,,2.10,103,3.40,2.1,1.3
Zeke Turner,2561283,LB,ARI,SF,2,,,,,,,,,,,,,,,,,,104,3.40,,
Azeez Al-Shaair,2562462,LB,SF,@ARI,1,2,,,,,,,,,,,,,,,,11.66,105,3.30,11.66,-8.36
Malik Harrison,2563554,LB,BAL,IND,1,2,,,,,,,,,,,,,,,,5.69,106,3.30,5.69,-2.39
Danny Trevathan,2532961,LB,CHI,@LV,1,2,,,,,,,,,,,,,,,,0.00,107,3.30,0.0,3.3
Kenny Young,2560947,LB,DEN,@PIT,,4,,,,,,,,,,,,,,,,11.19,108,3.20,11.19,-7.99
Tanner Vallejo,2558289,LB,ARI,SF,,2,0.5,,,,,,,,,,,,1,,,1.30,109,3.10,1.3,1.8
Oren Burks,2560984,LB,GB,@CIN,1,1,,,,,,,,,,,,,1,,,3.22,110,3.00,3.22,-0.22
Tarell Basham,2558165,LB,DAL,NYG,1,1,,,,,,,,,,,,,,,,2.33,111,2.50,2.33,0.17
Samson Ebukam,2558830,LB,SF,@ARI,1,1,,,,,,,,,,,,,,,,3.55,112,2.50,3.55,-1.05
Kyler Fackrell,2555340,LB,LAC,CLE,1,1,,,,,,,,,,,,,,,,3.32,113,2.50,3.32,-0.82
Shaquille Quarterman,2564217,LB,JAX,TEN,1,1,,,,,,,,,,,,,,,,0.83,114,2.50,0.83,1.67
Robert Spillane,2561596,LB,PIT,DEN,1,1,,,,,,,,,,,,,,,,1.44,115,2.50,1.44,1.06
Oshane Ximines,2562613,LB,NYG,@DAL,,2,,,,,,,,,,,,,1,,,2.64,116,2.10,2.64,-0.54
Brandon Copeland,2541695,LB,ATL,NYJ,1,,,,,,,,,,,,,,,,,1.51,117,1.70,1.51,0.19
Carter Coughlin,2564724,LB,NYG,@DAL,1,,,,,,,,,,,,,,,,,,118,1.70,,
Jabril Cox,2565998,LB,DAL,NYG,1,,,,,,,,,,,,,,,,,,119,1.70,,
Alex Highsmith,2564982,LB,PIT,DEN,1,,,,,,,,,,,,,,,,,7.65,120,1.70,7.65,-5.95
Travin Howard,2561154,LB,LA,@SEA,1,,,,,,,,,,,,,,,,,,121,1.70,,
Christian Kuntz,2559484,LB,PIT,DEN,1,,,,,,,,,,,,,,,,,0.00,122,1.70,0.0,1.7
Tyler Matakevich,2555171,LB,BUF,@KC,1,,,,,,,,,,,,,,,,,7.64,123,1.70,7.64,-5.94
Jared Norris,2556862,LB,WAS,NO,1,,,,,,,,,,,,,,,,,,124,1.70,,
Obo Okoronkwo,2560829,LB,LA,@SEA,1,,,,,,,,,,,,,,,,,2.30,125,1.70,2.3,-0.6
Brennan Scarlett,2556673,LB,MIA,@TB,1,,,,,,,,,,,,,,,,,2.20,126,1.70,2.2,-0.5
Malcolm Smith,2499278,LB,CLE,@LAC,1,,,,,,,,,,,,,,,,,8.06,127,1.70,8.06,-6.36
Joe Tryon-Shoyinka,2566574,LB,TB,MIA,1,,,,,,,,,,,,,,,,,2.32,128,1.70,2.32,-0.62
Derrek Tuszka,2563917,LB,PIT,DEN,1,,,,,,,,,,,,,,,,,1.58,129,1.70,1.58,0.12
Chris Board,2561301,LB,BAL,IND,,2,,,,,,,,,,,,,,,,3.41,130,1.60,3.41,-1.81
Von Miller,2495202,LB,LA,@SEA,,2,,,,,,,,,,,,,,,,6.51,131,1.60,6.51,-4.91
Ben Niemann,2561383,LB,KC,BUF,,2,,,,,,,,,,,,,,,,6.01,132,1.60,6.01,-4.41
Mack Wilson,2562605,LB,CLE,@LAC,,2,,,,,,,,,,,,,,,,2.20,133,1.60,2.2,-0.6
Sam Eguavoen,2562038,LB,MIA,@TB,,1,,,,,,,,,,,,,1,,,2.03,134,1.30,2.03,-0.73
Andre Smith,2560875,LB,BUF,@KC,,,,,,,1,,,,,,,,,,,0.56,135,1.00,0.56,0.44
Ola Adeniyi,2560950,LB,TEN,@JAX,,1,,,,,,,,,,,,,,,,2.81,136,0.80,2.81,-2.01
Dakota Allen,2562618,LB,JAX,TEN,,1,,,,,,,,,,,,,,,,0.00,137,0.80,0.0,0.8
Baron Browning,2566025,LB,DEN,@PIT,,1,,,,,,,,,,,,,,,,0.00,138,0.80,0.0,0.8
Rashaan Evans,2560718,LB,TEN,@JAX,,1,,,,,,,,,,,,,,,,9.01,139,0.80,9.01,-8.21
Zaire Franklin,2561155,LB,IND,@BAL,,1,,,,,,,,,,,,,,,,1.85,140,0.80,1.85,-1.05
Ulysees Gilbert,2562811,LB,PIT,DEN,,1,,,,,,,,,,,,,,,,0.00,141,0.80,0.0,0.8
Neville Hewitt,2553657,LB,HOU,NE,,1,,,,,,,,,,,,,,,,1.05,142,0.80,1.05,-0.25
Devon Kennard,2543869,LB,ARI,SF,,1,,,,,,,,,,,,,,,,2.00,143,0.80,2.0,-1.2
David Mayo,2553441,LB,WAS,NO,,1,,,,,,,,,,,,,,,,0.64,144,0.80,0.64,0.16
Whitney Mercilus,2533049,LB,GB,@CIN,,1,,,,,,,,,,,,,,,,3.99,145,0.80,3.99,-3.19
Uchenna Nwosu,2560826,LB,LAC,CLE,,1,,,,,,,,,,,,,,,,5.00,146,0.80,5.0,-4.2
Del'Shawn Phillips,2563179,LB,NYJ,@ATL,,1,,,,,,,,,,,,,,,,1.98,147,0.80,1.98,-1.18
Duke Riley,2557967,LB,MIA,@TB,,1,,,,,,,,,,,,,,,,0.91,148,0.80,0.91,-0.11
Julian Stanford,2535867,LB,CAR,PHI,,1,,,,,,,,,,,,,,,,0.57,149,0.80,0.57,0.23
Kristian Welch,2565348,LB,BAL,IND,,1,,,,,,,,,,,,,,,,0.00,150,0.80,0.0,0.8
Eric Wilson,2559012,LB,HOU,NE,,1,,,,,,,,,,,,,,,,10.48,151,0.80,10.48,-9.68
Jonathan Garvin,2563992,LB,GB,@CIN,,,,,,,,,,,,,,,1,,,2.83,152,0.50,2.83,-2.33
Matthew Adams,2561149,LB,IND,@BAL,,,,,,,,,,,,,,,,,,0.00,153,0.00,0.0,0.0
Tyrell Adams,2553898,LB,SF,@ARI,,,,,,,,,,,,,,,,,,0.00,154,0.00,0.0,0.0
Otaro Alaka,2562217,LB,BAL,IND,,,,,,,,,,,,,,,,,,,155,0.00,,
Kwon Alexander,2552592,LB,NO,@WAS,,,,,,,,,,,,,,,,,,1.92,156,0.00,1.92,-1.92
