PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Breece Hall,2568030,RB,NYJ,Bye,,,,,,,,,,,,,,84,0.00,
C.J. Ham,2556803,RB,MIN,@BUF,,,,,,,,,,,,,1.02,85,0.00,-1.02
Tre Harbison,2566791,RB,FA,Bye,,,,,,,,,,,,,,86,0.00,
JaQuan Hardy,2566818,RB,FA,Bye,,,,,,,,,,,,,,87,0.00,
Damien Harris,2562281,RB,NE,Bye,,,,,,,,,,,,,,88,0.00,
Kevin Harris,2567934,RB,NE,Bye,,,,,,,,,,,,,,89,0.00,
Najee Harris,2566448,RB,PIT,NO,,,,,,,,,,,,,11.29,90,0.00,-11.29
Hassan Haskins,2567649,RB,TEN,DEN,,,,,,,,,,,,,1.94,91,0.00,-1.94
JaMycal Hasty,2565108,RB,JAX,@KC,,,,,,,,,,,,,1.16,92,0.00,-1.16
Darrell Henderson,2562574,RB,LA,ARI,,,,,,,,,,,,,6.95,93,0.00,-6.95
Derrick Henry,2556075,RB,TEN,DEN,,,,,,,,,,,,,15.46,94,0.00,-15.46
Khalil Herbert,2565926,RB,CHI,DET,,,,,,,,,,,,,7.08,95,0.00,-7.08
Justice Hill,2562407,RB,BAL,Bye,,,,,,,,,,,,,,96,0.00,
Kylin Hill,2566076,RB,GB,DAL,,,,,,,,,,,,,,97,0.00,
Dontrell Hilliard,2561461,RB,TEN,DEN,,,,,,,,,,,,,4.36,98,0.00,-4.36
Nyheim Hines,2560742,RB,IND,@LV,,,,,,,,,,,,,5.66,99,0.00,-5.66
Josh Hokit,2565111,RB,FA,Bye,,,,,,,,,,,,,,100,0.00,
Elijah Holyfield,2562664,RB,CIN,Bye,,,,,,,,,,,,,,101,0.00,
Travis Homer,2562665,RB,SEA,@TB,,,,,,,,,,,,,,102,0.00,
Zander Horvath,2568174,RB,LAC,@SF,,,,,,,,,,,,,0.65,103,0.00,-0.65
Jordan Howard,2555418,RB,FA,Bye,,,,,,,,,,,,,,104,0.00,
Chuba Hubbard,2565899,RB,CAR,ATL,,,,,,,,,,,,,2.56,105,0.00,-2.56
Kareem Hunt,2557917,RB,CLE,@MIA,,,,,,,,,,,,,8.97,106,0.00,-8.97
Caleb Huntley,2566692,RB,ATL,@CAR,,,,,,,,,,,,,4.04,107,0.00,-4.04
Jason Huntley,2563938,RB,PIT,NO,,,,,,,,,,,,,0.00,108,0.00,0.0
Alec Ingold,2562288,RB,MIA,CLE,,,,,,,,,,,,,1.67,109,0.00,-1.67
Keaontay Ingram,2568108,RB,ARI,@LA,,,,,,,,,,,,,0.00,110,0.00,0.0
Mark Ingram,2495466,RB,NO,@PIT,,,,,,,,,,,,,8.19,111,0.00,-8.19
Deon Jackson,2565603,RB,IND,@LV,,,,,,,,,,,,,0.71,112,0.00,-0.71
Justin Jackson,2560756,RB,DET,@CHI,,,,,,,,,,,,,1.89,113,0.00,-1.89
Josh Jacobs,2562377,RB,LV,IND,,,,,,,,,,,,,13.51,114,0.00,-13.51
Andy Janovich,2555432,RB,FA,Bye,,,,,,,,,,,,,,115,0.00,
Jermar Jefferson,2566058,RB,DET,@CHI,,,,,,,,,,,,,0.00,116,0.00,0.0
D'Ernest Johnson,2563327,RB,CLE,@MIA,,,,,,,,,,,,,0.00,117,0.00,0.0
Duke Johnson,2552461,RB,BUF,MIN,,,,,,,,,,,,,0.00,118,0.00,0.0
Jakob Johnson,2562890,RB,LV,IND,,,,,,,,,,,,,0.42,119,0.00,-0.42
Josh Johnson,2567118,RB,FA,Bye,,,,,,,,,,,,,,120,0.00,
Ty Johnson,2562293,RB,NYJ,Bye,,,,,,,,,,,,,,121,0.00,
Aaron Jones,2558116,RB,GB,DAL,,,,,,,,,,,,,15.25,122,0.00,-15.25
Ronald Jones,2560770,RB,KC,JAX,,,,,,,,,,,,,0.00,123,0.00,0.0
Taiwan Jones,2495467,RB,BUF,MIN,,,,,,,,,,,,,0.68,124,0.00,-0.68
