PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Samson Ebukam,2558830,LB,IND,ARI,,,,,,,,,,,,,,,,,,0.00,171,96,0.00,0.0
Power Echols,2574007,LB,FA,Bye,,,,,,,,,,,,,,,,,,,172,97,0.00,
Tremaine Edmunds,2560713,LB,CHI,@WAS,3.21,2.7,0.06,0.28,0.06,0.06,,,,,,,,0.39,0.17,,,8.46,34,98,0.00,-8.46
T.J. Edwards,2562648,LB,CHI,@WAS,4.59,3.47,0.18,0.59,0.06,0.06,0.12,,,,,,,0.24,0.41,,,11.56,7,99,0.00,-11.56
Tommy Eichenberg,2572225,LB,LV,TEN,,,,,,,,,,,,,,,,,,0.00,173,100,0.00,0.0
Milo Eifler,2565729,LB,FA,Bye,,,,,,,,,,,,,,,,,,,174,101,0.00,
Christian Elliss,2567004,LB,NE,@NO,,,,,,,,,,,,,,,,,,0.00,175,102,0.00,0.0
Jonah Elliss,2571991,LB,DEN,@NYJ,1.57,0.93,0.21,0.43,,,,,,,,,,0.14,0.36,,,4.51,76,103,0.00,-4.51
Kaden Elliss,2562901,LB,ATL,BUF,4.88,2.88,0.32,0.47,0.06,0.06,0.06,,,,,,,0.18,0.71,,,11.68,3,104,0.00,-11.68
Andrew Farmer,2571545,LB,FA,Bye,,,,,,,,,,,,,,,,,,,176,105,0.00,
Tony Fields II,2565971,LB,FA,Bye,,,,,,,,,,,,,,,,,,,177,106,0.00,
Demetrius Flannigan-Fowles,2563090,LB,NYG,PHI,,,,,,,,,,,,,,,,,,0.00,178,107,0.00,0.0
Jaylan Ford,2572315,LB,NO,NE,,,,,,,,,,,,,,,,,,0.00,179,108,0.00,0.0
Dante Fowler Jr.,2553431,LB,DAL,@CAR,1,0.82,0.29,0.35,,0.12,,,,,,,,0.12,0.59,,,4.11,81,109,0.00,-4.11
Tomon Fox,2569137,LB,NYG,PHI,,,,,,,,,,,,,,,,,,0.00,180,110,0.00,0.0
Zaire Franklin,2561155,LB,IND,ARI,5.85,3.38,0.11,0.56,0.06,0.17,,,,,,,,0.23,0.23,0.23,,13.37,1,111,0.00,-13.37
Jalan Gaines,2574560,LB,FA,Bye,,,,,,,,,,,,,,,,,,,181,112,0.00,
Dallas Gant,2573289,LB,FA,Bye,,,,,,,,,,,,,,,,,,,182,113,0.00,
Dennis Gardeck,2561200,LB,JAX,SEA,,,,,,,,,,,,,,,,,,0.00,183,114,0.00,0.0
Willie Gay Jr.,2564280,LB,MIA,LAC,,,,,,,,,,,,,,,,,,0.00,184,115,0.00,0.0
David Gbenda,2574149,LB,FA,Bye,,,,,,,,,,,,,,,,,,,185,116,0.00,
Brandon George,2574245,LB,KC,DET,,,,,,,,,,,,,,,,,,0.00,186,117,0.00,0.0
Jack Gibbens,2568810,LB,NE,@NO,,,,,,,,,,,,,,,,,,0.00,187,118,0.00,0.0
Luke Gifford,2562942,LB,SF,@TB,2.76,1.61,,,0.06,,,,,,,,,0.19,0.06,,,5.82,64,119,0.00,-5.82
DaRon Gilbert,2573127,LB,FA,Bye,,,,,,,,,,,,,,,,,,,188,120,0.00,
Joe Giles-Harris,2562591,LB,CIN,@GB,,,,,,,,,,,,,,,,,,0.00,189,121,0.00,0.0
Cam Gill,2565216,LB,FA,Bye,,,,,,,,,,,,,,,,,,,190,122,0.00,
Trevis Gipson,2563695,LB,SF,@TB,,,,,,,,,,,,,,,,,,0.00,191,123,0.00,0.0
