PlayerName,PlayerId,Pos,Team,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Matt Cole,2564442,WR,FA,,,,,,,,,,,,,,,,,,,,,,162,0.00
Pharoh Cooper,2555419,WR,FA,,,,,,,,,,,,,,,,,,,,,,163,0.00
Isaiah Coulter,2564067,WR,FA,,,,,,,,,,,,,,,,,,,,,,164,0.00
Keke Coutee,2561029,WR,FA,,,,,,,,,,,,,,,,,,,,,,165,0.00
River Cracraft,2559485,WR,FA,,,,,,,,,,,,,,,,,,,,,,166,0.00
Jamison Crowder,2552415,WR,NYJ,,,,,,,,,,,,,,,,,,,,,,167,0.00
Frank Darby,2565812,WR,ATL,,,,,,,,,,,,,,,,,,,,,,168,0.00
Jaelon Darden,2566562,WR,TB,,,,,,,,,,,,30.30,,,,,,,,,,169,0.00
Corey Davis,2557848,WR,NYJ,,,,,,,,,,,,,,,,,,,,,,170,0.00
Quartney Davis,2564529,WR,IND,,,,,,,,,,,,29.30,,,,,,,,,,171,0.00
Rashard Davis,2559461,WR,FA,,,,,,,,,,,,,,,,,,,,,,172,0.00
Reggie Davis,2559324,WR,FA,,,,,,,,,,,,,,,,,,,,,,173,0.00
Gehrig Dieter,2559066,WR,FA,,,,,,,,,,,,,,,,,,,,,,174,0.00
Derrick Dillon,2564730,WR,FA,,,,,,,,,,,,,,,,,,,,,,175,0.00
Keelan Doss,2562393,WR,FA,,,,,,,,,,,,,,,,,,,,,,176,0.00
D'Wayne Eskridge,2566553,WR,SEA,,,,,,,,,,,,17.10,,,,,,,,,,177,0.00
Simi Fehoko,2566004,WR,DAL,,,,,,,,,,,,50.50,,,,,,,,,,178,0.00
Maurice Ffrench,2564277,WR,FA,,,,,,,,,,,,,,,,,,,,,,179,0.00
