PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Aaron Jones,2558116,RB,MIN,CHI,,,,50.71,0.23,2.24,16.48,0.17,,,,0.17,9.90,25,115,0.00,-9.9
Velus Jones Jr.,2567409,RB,FA,Bye,,,,,,,,,,,,,,159,116,0.00,
Jawhar Jordan,2572099,RB,FA,Bye,,,,,,,,,,,,,,160,117,0.00,
Quinshon Judkins,2574053,RB,CLE,BAL,,,,65.51,0.56,1.58,12.5,0.1,,,,0.22,12.11,17,118,0.00,-12.11
Kyle Juszczyk,2540230,RB,SF,@ARI,,,,,,,,,,,,,0.00,161,119,0.00,0.0
Alvin Kamara,2558019,RB,NO,Bye,,,,,,,,,,,,,,162,120,0.00,
D.K. Kaufman,2574646,RB,FA,Bye,,,,,,,,,,,,,,163,121,0.00,
John Kelly,2560777,RB,FA,Bye,,,,,,,,,,,,,,164,122,0.00,
Corey Kiner,2574541,RB,MIN,CHI,,,,,,,,,,,,,0.00,165,123,0.00,0.0
Bam Knight,2568036,RB,ARI,SF,,,,16.69,0.17,0.44,3.27,0.03,,,,0.06,3.30,59,124,0.00,-3.3
Brock Lampe,2574375,RB,NE,NYJ,,,,,,,,,,,,,0.00,166,125,0.00,0.0
Lan Larison,2574376,RB,NE,NYJ,,,,,,,,,,,,,0.00,167,126,0.00,0.0
Dylan Laube,2572231,RB,LV,DAL,,,,0.36,,0.02,0.22,,,,,,0.07,94,127,0.00,-0.07
MarShawn Lloyd,2572042,RB,GB,@NYG,,,,,,,,,,,,,0.00,168,128,0.00,0.0
Hunter Luepke,2570882,RB,DAL,@LV,,,,,,,,,,,,,0.00,169,129,0.00,0.0
Kayron Lynch-Adams,2573990,RB,FA,Bye,,,,,,,,,,,,,,170,130,0.00,
Phil Mafah,2574079,RB,DAL,@LV,,,,,,,,,,,,,0.00,171,131,0.00,0.0
Marcus Major,2573942,RB,FA,Bye,,,,,,,,,,,,,,172,132,0.00,
Woody Marks,2574174,RB,HOU,@TEN,,,,41.1,0.24,2.28,23.32,0.2,,,,0.14,9.94,24,133,0.00,-9.94
Ahmani Marshall,2574055,RB,FA,Bye,,,,,,,,,,,,,,173,134,0.00,
Damien Martinez,2574568,RB,FA,Bye,,,,,,,,,,,,,,174,135,0.00,
Jordan Mason,2569257,RB,MIN,CHI,,,,52.15,0.34,1.03,7.48,0.06,,,,0.13,8.62,30,136,0.00,-8.62
Alexander Mattison,2562682,RB,MIA,WAS,,,,,,,,,,,,,0.00,175,137,0.00,0.0
Christian McCaffrey,2557997,RB,SF,@ARI,,,,81.63,0.69,5.53,48.14,0.42,,,,0.25,21.90,1,138,0.00,-21.9
Jase McClellan,2571808,RB,FA,Bye,,,,,,,,,,,,,,176,139,0.00,
Sincere McCormick,2568984,RB,SF,@ARI,,,,,,,,,,,,,0.00,177,140,0.00,0.0
Kenny McIntosh,2570314,RB,SEA,@LAR,,,,,,,,,,,,,0.00,178,141,0.00,0.0
Jaleel McLaughlin,2570942,RB,DEN,KC,,,,2.35,0.01,0.05,0.26,,,,,0.02,0.31,90,142,0.00,-0.31
