PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Rayshawn Jenkins,2558182,DB,JAX,2,,,,,,,,,,,,,,,,,164,3.40
Bobby McCain,2552434,DB,WAS,2,,,,,,,,,,,,,,,,,165,3.40
Devin McCourty,494287,DB,NE,2,,,,,,,,,,,,,,,,,166,3.40
Cameron Sutton,2558849,DB,PIT,2,,,,,,,,,,,,,,,,,167,3.40
Levi Wallace,2560914,DB,BUF,2,,,,,,,,,,,,,,,,,168,3.40
Marcus Williams,2558847,DB,NO,2,,,,,,,,,,,,,,,,,169,3.40
James Bradberry,2555175,DB,NYG,,1,,,,,,,,,,,,1,,,,170,3.30
Sean Chandler,2561017,DB,CAR,1,2,,,,,,,,,,,,,,,,171,3.30
Andrew Sendejo,2525323,DB,IND,1,,,1,,,,,,,,,,,,,,172,3.20
Breon Borders,2559015,DB,TEN,,,,,,,,,,,,,,1,,,,173,2.50
Sam Franklin,2563638,DB,CAR,1,1,,,,,,,,,,,,,,,,174,2.50
Joe Haden,496733,DB,PIT,1,1,,,,,,,,,,,,,,,,175,2.50
Nate Hairston,2558108,DB,DEN,,,,,,,,,,,,,,1,,,,176,2.50
Troy Hill,2553536,DB,CLE,1,1,,,,,,,,,,,,,,,,177,2.50
Malik Hooker,2558060,DB,DAL,,,,,,,,,,,,,,1,,,,178,2.50
Jaycee Horn,2565893,DB,CAR,1,1,,,,,,,,,,,,,,,,179,2.50
Kareem Jackson,496735,DB,DEN,1,1,,,,,,,,,,,,,,,,180,2.50
Patrick Peterson,2495504,DB,MIN,1,1,,,,,,,,,,,,,,,,181,2.50
Nick Scott,2562905,DB,LA,1,1,,,,,,,,,,,,,,,,182,2.50
M.J. Stewart,2560884,DB,CLE,1,1,,,,,,,,,,,,,,,,183,2.50
Chandon Sullivan,2560887,DB,GB,,,,,,,,,,,,,,1,,,,184,2.50
Avery Williams,2565833,DB,ATL,,,,,,,,,,,,,,1,,,,185,2.50
Tyree Gillespie,2566256,DB,LV,,3,,,,,,,,,,,,,,,,186,2.40
Javelin Guidry,2565504,DB,NYJ,,3,,,,,,,,,,,,,,,,187,2.40
Antonio Hamilton,2556804,DB,ARI,,1,,,,,1,,,,,,,,,,,188,1.80
Damon Arnette,2564409,DB,LV,1,,,,,,,,,,,,,,,,,189,1.70
Chidobe Awuzie,2557840,DB,CIN,1,,,,,,,,,,,,,,,,,190,1.70
Andre Chachere,2561016,DB,PHI,1,,,,,,,,,,,,,,,,,191,1.70
Cody Davis,2541135,DB,NE,1,,,,,,,,,,,,,,,,,192,1.70
Divine Deablo,2566253,DB,LV,1,,,,,,,,,,,,,,,,,193,1.70
Matthias Farley,2556429,DB,TEN,1,,,,,,,,,,,,,,,,,194,1.70
C.J. Goodwin,2550767,DB,DAL,1,,,,,,,,,,,,,,,,,195,1.70
J.T. Gray,2561206,DB,NO,1,,,,,,,,,,,,,,,,,196,1.70
A.J. Green,2563782,DB,CLE,1,,,,,,,,,,,,,,,,,197,1.70
Duron Harmon,2541243,DB,ATL,1,,,,,,,,,,,,,,,,,198,1.70
Darnay Holmes,2564739,DB,NYG,1,,,,,,,,,,,,,,,,,199,1.70
Talanoa Hufanga,2566529,DB,SF,1,,,,,,,,,,,,,,,,,200,1.70
Noah Igbinoghene,2564457,DB,MIA,1,,,,,,,,,,,,,,,,,201,1.70
Jaquan Johnson,2562676,DB,BUF,1,,,,,,,,,,,,,,,,,202,1.70
Justin Layne,2562479,DB,PIT,1,,,,,,,,,,,,,,,,,203,1.70
Deommodore Lenoir,2566535,DB,SF,1,,,,,,,,,,,,,,,,,204,1.70
Trevon Moehrig,2566268,DB,LV,1,,,,,,,,,,,,,,,,,205,1.70
Elijah Molden,2566115,DB,TEN,1,,,,,,,,,,,,,,,,,206,1.70
Fabian Moreau,2558136,DB,ATL,1,,,,,,,,,,,,,,,,,207,1.70
George Odum,2561131,DB,IND,1,,,,,,,,,,,,,,,,,208,1.70
Amik Robertson,2564430,DB,LV,1,,,,,,,,,,,,,,,,,209,1.70
Mark Webb,2566523,DB,LAC,1,,,,,,,,,,,,,,,,,210,1.70
K'Waun Williams,2550654,DB,SF,1,,,,,,,,,,,,,,,,,211,1.70
Rodarius Williams,2566379,DB,NYG,1,,,,,,,,,,,,,,,,,212,1.70
Jason McCourty,89756,DB,MIA,,2,,,,,,,,,,,,,,,,213,1.60
Andrew Adams,2556456,DB,TB,,1,,,,,,,,,,,,,,,,214,0.80
Troy Apke,2560958,DB,WAS,,1,,,,,,,,,,,,,,,,215,0.80
Grant Delpit,2563773,DB,CLE,,1,,,,,,,,,,,,,,,,216,0.80
Deshazor Everett,2553710,DB,WAS,,1,,,,,,,,,,,,,,,,217,0.80
John Johnson,2558183,DB,CLE,,1,,,,,,,,,,,,,,,,218,0.80
K'Von Wallace,2564871,DB,PHI,,1,,,,,,,,,,,,,,,,219,0.80
Armani Watts,2560921,DB,KC,,1,,,,,,,,,,,,,,,,220,0.80
Delrick Abrams,2563464,DB,FA,,,,,,,,,,,,,,,,,,221,0.00
DeMarkus Acy,2565087,DB,PIT,,,,,,,,,,,,,,,,,,222,0.00
Jahleel Addae,2541958,DB,FA,,,,,,,,,,,,,,,,,,223,0.00
Brian Allen,2558237,DB,FA,,,,,,,,,,,,,,,,,,224,0.00
Marcus Allen,2560956,DB,PIT,,,,,,,,,,,,,,,,,,225,0.00
