PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Dede Westbrook,2557895,WR,MIN,,,,,,,,,,,,,6.75,,,,,,,,,,350,0.00
Nick Westbrook-Ikhine,2565477,WR,TEN,,,,,,,,,,,,,5.44,,,,,,,,,,351,0.00
Cody White,2564313,WR,PIT,,,,,,,,,,,,,6.49,,,,,,,,,,352,0.00
Kevin White,2553432,WR,FA,,,,,,,,,,,,,,,,,,,,,,,353,0.00
Isaac Whitney,2559008,WR,FA,,,,,,,,,,,,,,,,,,,,,,,354,0.00
Kristian Wilkerson,2565480,WR,NE,,,,,,,,,,,,,8.06,,,,,,,,,,355,0.00
Chad Williams,2558208,WR,FA,,,,,,,,,,,,,,,,,,,,,,,356,0.00
Duke Williams,2556836,WR,FA,,,,,,,,,,,,,,,,,,,,,,,357,0.00
Mike Williams,2558846,WR,LAC,,,,,,,,,,,,,7.34,,,,,,,,,,358,0.00
Preston Williams,2562805,WR,MIA,,,,,,,,,,,,,5.98,,,,,,,,,,359,0.00
Seth Williams,2566052,WR,DEN,,,,,,,,,,,,,6.21,,,,,,,,,,360,0.00
Tyrell Williams,2553913,WR,FA,,,,,,,,,,,,,,,,,,,,,,,361,0.00
Derrick Willies,2561470,WR,FA,,,,,,,,,,,,,,,,,,,,,,,362,0.00
Albert Wilson,2550272,WR,MIA,,,,,,,,,,,,,5.98,,,,,,,,,,363,0.00
Ced Wilson,2560936,WR,DAL,,,,,,,,,,,,,8.65,,,,,,,,,,364,0.00
Javon Wims,2560939,WR,LV,,,,,,,,,,,,,9.23,,,,,,,,,,365,0.00
Juwann Winfree,2562956,WR,GB,,,,,,,,,,,,,6.13,,,,,,,,,,366,0.00
Isaiah Wright,2565316,WR,FA,,,,,,,,,,,,,,,,,,,,,,,367,0.00
Olamide Zaccheaus,2562808,WR,ATL,,,,,,,,,,,,,6.37,,,,,,,,,,368,0.00
Isaiah Zuber,2564658,WR,FA,,,,,,,,,,,,,,,,,,,,,,,369,0.00
Brandon Zylstra,2560243,WR,CAR,,,,,,,,,,,,,7.16,,,,,,,,,,370,0.00
