PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Richie Grant,2565818,DB,ATL,SF,,,,,,,,,,,,,,,,,,161,0.00
J.T. Gray,2561206,DB,NO,CIN,,,,,,,,,,,,,,,,,,162,0.00
A.J. Green,2563782,DB,CLE,NE,,,,,,,,,,,,,,,,,,163,0.00
Allie Green,2567394,DB,FA,Bye,,,,,,,,,,,,,,,,,,164,0.00
Olaijah Griffin,2566635,DB,NYG,BAL,,,,,,,,,,,,,,,,,,165,0.00
Shaquill Griffin,2558259,DB,JAX,@IND,,,,,,,,,,,,,,,,,,166,0.00
Javelin Guidry,2565504,DB,LV,Bye,,,,,,,,,,,,,,,,,,167,0.00
Javon Hagan,2565219,DB,FA,Bye,,,,,,,,,,,,,,,,,,168,0.00
Nate Hairston,2558108,DB,ARI,@SEA,,,,,,,,,,,,,,,,,,169,0.00
Grant Haley,2561001,DB,LA,CAR,,,,,,,,,,,,,,,,,,170,0.00
Bryce Hall,2564796,DB,NYJ,@GB,,,,,,,,,,,,,,,,,,171,0.00
Darren Hall,2565821,DB,ATL,SF,,,,,,,,,,,,,,,,,,172,0.00
Kemon Hall,2562975,DB,LAC,DEN,,,,,,,,,,,,,,,,,,173,0.00
Tyler Hall,2563497,DB,FA,Bye,,,,,,,,,,,,,,,,,,174,0.00
Antonio Hamilton,2556804,DB,ARI,@SEA,,,,,,,,,,,,,,,,,,175,0.00
Kyle Hamilton,2567274,DB,BAL,@NYG,,,,,,,,,,,,,,,,,,176,0.00
Damar Hamlin,2565872,DB,BUF,@KC,,,,,,,,,,,,,,,,,,177,0.00
Harrison Hand,2564547,DB,CHI,WAS,,,,,,,,,,,,,,,,,,178,0.00
Justin Hardee,2559181,DB,NYJ,@GB,,,,,,,,,,,,,,,,,,179,0.00
Duron Harmon,2541243,DB,LV,Bye,,,,,,,,,,,,,,,,,,180,0.00
Madre Harper,2564421,DB,CAR,@LA,,,,,,,,,,,,,,,,,,181,0.00
Anthony Harris,2553655,DB,DEN,@LAC,,,,,,,,,,,,,,,,,,182,0.00
Erik Harris,2555568,DB,ATL,SF,,,,,,,,,,,,,,,,,,183,0.00
Tim Harris,2562949,DB,FA,Bye,,,,,,,,,,,,,,,,,,184,0.00
Will Harris,2562395,DB,DET,Bye,,,,,,,,,,,,,,,,,,185,0.00
Ronnie Harrison,2561008,DB,CLE,NE,,,,,,,,,,,,,,,,,,186,0.00
Myles Hartsfield,2563644,DB,CAR,@LA,,,,,,,,,,,,,,,,,,187,0.00
Jaylinn Hawkins,2563500,DB,ATL,SF,,,,,,,,,,,,,,,,,,188,0.00
Casey Hayward,2532861,DB,ATL,SF,,,,,,,,,,,,,,,,,,189,0.00
C.J. Henderson,2564199,DB,CAR,@LA,,,,,,,,,,,,,,,,,,190,0.00
Trayvon Henderson,2561339,DB,FA,Bye,,,,,,,,,,,,,,,,,,191,0.00
Tre Herndon,2561340,DB,JAX,@IND,,,,,,,,,,,,,,,,,,192,0.00
Gavin Heslop,2565156,DB,FA,Bye,,,,,,,,,,,,,,,,,,193,0.00
Elijah Hicks,2567397,DB,CHI,WAS,,,,,,,,,,,,,,,,,,194,0.00
Faion Hicks,2567526,DB,DEN,@LAC,,,,,,,,,,,,,,,,,,195,0.00
Daxton Hill,2567451,DB,CIN,@NO,,,,,,,,,,,,,,,,,,196,0.00
Troy Hill,2553536,DB,LA,CAR,,,,,,,,,,,,,,,,,,197,0.00
Mike Hilton,2556559,DB,CIN,@NO,,,,,,,,,,,,,,,,,,198,0.00
Nate Hobbs,2566259,DB,LV,Bye,,,,,,,,,,,,,,,,,,199,0.00
Jevon Holland,2566283,DB,MIA,MIN,,,,,,,,,,,,,,,,,,200,0.00
Ka'dar Hollman,2562940,DB,ATL,SF,,,,,,,,,,,,,,,,,,201,0.00
Christian Holmes,2568330,DB,WAS,@CHI,,,,,,,,,,,,,,,,,,202,0.00
Darnay Holmes,2564739,DB,NYG,BAL,,,,,,,,,,,,,,,,,,203,0.00
Amani Hooker,2562666,DB,TEN,Bye,,,,,,,,,,,,,,,,,,204,0.00
Malik Hooker,2558060,DB,DAL,@PHI,,,,,,,,,,,,,,,,,,205,0.00
Jaycee Horn,2565893,DB,CAR,@LA,,,,,,,,,,,,,,,,,,206,0.00
DeAndre Houston-Carson,2555381,DB,CHI,WAS,,,,,,,,,,,,,,,,,,207,0.00
Xavien Howard,2555539,DB,MIA,MIN,,,,,,,,,,,,,,,,,,208,0.00
Talanoa Hufanga,2566529,DB,SF,@ATL,,,,,,,,,,,,,,,,,,209,0.00
JuJu Hughes,2564352,DB,DET,Bye,,,,,,,,,,,,,,,,,,210,0.00
Mike Hughes,2560746,DB,DET,Bye,,,,,,,,,,,,,,,,,,211,0.00
Marlon Humphrey,2558067,DB,BAL,@NYG,,,,,,,,,,,,,,,,,,212,0.00
Micah Hyde,2539240,DB,BUF,@KC,,,,,,,,,,,,,,,,,,213,0.00
Noah Igbinoghene,2564457,DB,MIA,MIN,,,,,,,,,,,,,,,,,,214,0.00
Godwin Igwebuike,2560749,DB,SEA,ARI,,,,,,,,,,,,,,,,,,215,0.00
Dan Isom,2567838,DB,FA,Bye,,,,,,,,,,,,,,,,,,216,0.00
Adoree' Jackson,2558065,DB,NYG,BAL,,,,,,,,,,,,,,,,,,217,0.00
Chris Jackson,2564049,DB,TEN,Bye,,,,,,,,,,,,,,,,,,218,0.00
Dane Jackson,2563614,DB,BUF,@KC,,,,,,,,,,,,,,,,,,219,0.00
