PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Landen Akers,2566193,WR,LA,@HOU,,,,,,,,,,,,0.00,114,0.00,0.0,0.0
Geronimo Allison,2556460,WR,DET,PHI,,,,,,,,,,,,0.00,115,0.00,0.0,0.0
Robby Anderson,2556462,WR,CAR,@ATL,,,,,,,,,,,,8.06,116,0.00,8.06,-8.06
J.J. Arcega-Whiteside,2562466,WR,PHI,@DET,,,,,,,,,,,,0.70,117,0.00,0.7,-0.7
Marcell Ateman,2560961,WR,LV,Bye,,,,,,,,,,,,,118,0.00,,
Tutu Atwell,2566196,WR,LA,@HOU,,,,,,,,,,,,,119,0.00,,
Andre Baccellia,2564250,WR,ARI,GB,,,,,,,,,,,,0.00,120,0.00,0.0,0.0
Alex Bachman,2563301,WR,NYG,@KC,,,,,,,,,,,,0.00,121,0.00,0.0,0.0
Manasseh Bailey,2564817,WR,FA,Bye,,,,,,,,,,,,,122,0.00,,
Kawaan Baker,2566349,WR,NO,TB,,,,,,,,,,,,0.00,123,0.00,0.0,0.0
Rashod Bateman,2565836,WR,BAL,Bye,,,,,,,,,,,,,124,0.00,,
Cameron Batson,2561521,WR,TEN,@IND,,,,,,,,,,,,,125,0.00,,
Omar Bayless,2563623,WR,FA,Bye,,,,,,,,,,,,,126,0.00,,
Chad Beebe,2561482,WR,MIN,DAL,,,,,,,,,,,,,127,0.00,,
Reggie Begelton,2563446,WR,FA,Bye,,,,,,,,,,,,,128,0.00,,
Travis Benjamin,2532790,WR,SF,@CHI,,,,,,,,,,,,0.00,129,0.00,0.0,0.0
Trinity Benson,2563035,WR,DET,PHI,,,,,,,,,,,,0.00,130,0.00,0.0,0.0
Tarik Black,2565594,WR,IND,TEN,,,,,,,,,,,,0.00,131,0.00,0.0,0.0
Justin Blackmon,2533038,WR,FA,Bye,,,,,,,,,,,,,132,0.00,,
Chris Blair,2565588,WR,GB,@ARI,,,,,,,,,,,,0.00,133,0.00,0.0,0.0
Christian Blake,2561443,WR,ATL,CAR,,,,,,,,,,,,1.07,134,0.00,1.07,-1.07
C.J. Board,2558911,WR,NYG,@KC,,,,,,,,,,,,,135,0.00,,
Victor Bolden,2558912,WR,FA,Bye,,,,,,,,,,,,,136,0.00,,
Lynn Bowden,2564412,WR,MIA,@BUF,,,,,,,,,,,,,137,0.00,,
Miles Boykin,2562631,WR,BAL,Bye,,,,,,,,,,,,,138,0.00,,
Ja'Marcus Bradley,2563761,WR,CLE,PIT,,,,,,,,,,,,0.00,139,0.00,0.0,0.0
Antonio Brown,2508061,WR,TB,@NO,,,,,,,,,,,,0.00,140,0.00,0.0,0.0
Dyami Brown,2566586,WR,WAS,@DEN,,,,,,,,,,,,0.00,141,0.00,0.0,0.0
Fred Brown,2559396,WR,FA,Bye,,,,,,,,,,,,,142,0.00,,
