PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Zack Moss,2563617,RB,BUF,PIT,,,,,,,,,,,,0.00,182,0.00,0.0,0.0
Khalfani Muhammad,2558861,RB,FA,Bye,,,,,,,,,,,,,183,0.00,,
Ryan Nall,2560817,RB,CHI,@LA,,,,,,,,,,,,0.00,184,0.00,0.0,0.0
Kene Nwangwu,2566313,RB,MIN,@CIN,,,,,,,,,,,,0.00,185,0.00,0.0,0.0
Qadree Ollison,2562797,RB,ATL,PHI,,,,,,,,,,,,0.00,186,0.00,0.0,0.0
Sewo Olonilua,2563857,RB,DAL,@TB,,,,,,,,,,,,,187,0.00,,
Devine Ozigbo,2562409,RB,JAX,@HOU,,,,,,,,,,,,0.00,188,0.00,0.0,0.0
Jacques Patrick,2563737,RB,FA,Bye,,,,,,,,,,,,,189,0.00,,
Elijhaa Penny,2556762,RB,NYG,DEN,,,,,,,,,,,,0.47,190,0.00,0.47,-0.47
La'Mical Perine,2564808,RB,NYJ,@CAR,,,,,,,,,,,,0.00,191,0.00,0.0,0.0
Malcolm Perry,2564484,RB,NE,MIA,,,,,,,,,,,,,192,0.00,,
Senorise Perry,2550633,RB,FA,Bye,,,,,,,,,,,,,193,0.00,,
Adrian Peterson,2507164,RB,TEN,ARI,,,,,,,,,,,,0.00,194,0.00,0.0,0.0
Scottie Phillips,2564085,RB,HOU,JAX,,,,,,,,,,,,,195,0.00,,
Artavis Pierce,2565417,RB,CHI,@LA,,,,,,,,,,,,0.00,196,0.00,0.0,0.0
Sandro Platzgummer,2565523,RB,NYG,DEN,,,,,,,,,,,,0.00,197,0.00,0.0,0.0
C.J. Prosise,2555417,RB,FA,Bye,,,,,,,,,,,,,198,0.00,,
Trey Ragas,2565654,RB,LV,BAL,,,,,,,,,,,,0.78,199,0.00,0.78,-0.78
Craig Reynolds,2562834,RB,DET,SF,,,,,,,,,,,,0.00,200,0.00,0.0,0.0
Jalen Richard,2556885,RB,LV,BAL,,,,,,,,,,,,0.00,201,0.00,0.0,0.0
Theo Riddick,2540020,RB,FA,Bye,,,,,,,,,,,,,202,0.00,,
Jaylen Samuels,2560862,RB,HOU,JAX,,,,,,,,,,,,0.00,203,0.00,0.0,0.0
Jordan Scarlett,2562725,RB,FA,Bye,,,,,,,,,,,,,204,0.00,,
Stevie Scott III,2565705,RB,FA,Bye,,,,,,,,,,,,,205,0.00,,
Trey Sermon,2566544,RB,SF,@DET,,,,,,,,,,,,0.00,206,0.00,0.0,0.0
Anthony Sherman,2495340,RB,FA,Bye,,,,,,,,,,,,,207,0.00,,
Ito Smith,2559924,RB,FA,Bye,,,,,,,,,,,,,208,0.00,,
Rodney Smith,2563680,RB,FA,Bye,,,,,,,,,,,,,209,0.00,,
Johnny Stanton,2561489,RB,CLE,@KC,,,,,,,,,,,,0.00,210,0.00,0.0,0.0
Mason Stokke,2565579,RB,FA,Bye,,,,,,,,,,,,,211,0.00,,
J.J. Taylor,2564640,RB,NE,MIA,,,,,,,,,,,,0.00,212,0.00,0.0,0.0
Patrick Taylor,2564040,RB,GB,@NO,,,,,,,,,,,,0.00,213,0.00,0.0,0.0
Chris Thompson,2540011,RB,FA,Bye,,,,,,,,,,,,,214,0.00,,
Darwin Thompson,2562832,RB,TB,DAL,,,,,,,,,,,,0.00,215,0.00,0.0,0.0
Ke'Shawn Vaughn,2565258,RB,TB,DAL,,,,,,,,,,,,0.00,216,0.00,0.0,0.0
