PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Parker Hesse,2563272,TE,DET,TEN,,,,,,,,,,,,,0.00,62,0.00,0.0
Connor Heyward,2568138,TE,PIT,NYG,,,,,,,,,,,,,0.54,63,0.00,-0.54
Tyler Higbee,2555364,TE,LAR,MIN,,,,,,,,,,,,,2.83,64,0.00,-2.83
Elijah Higgins,2570068,TE,ARI,@MIA,,,,,,,,,,,,,1.55,65,0.00,-1.55
Julian Hill,2571129,TE,MIA,ARI,,,,,,,,,,,,,0.00,66,0.00,0.0
Taysom Hill,2558954,TE,NO,@LAC,,,,,,,,,,,,,6.38,67,0.00,-6.38
T.J. Hockenson,2562378,TE,MIN,@LAR,,,,,,,,,,,,,6.64,68,0.00,-6.64
Curtis Hodges,2568327,TE,FA,Bye,,,,,,,,,,,,,,69,0.00,
Dallin Holker,2573373,TE,NO,@LAC,,,,,,,,,,,,,0.52,70,0.00,-0.52
Alec Holler,2573049,TE,FA,Bye,,,,,,,,,,,,,,71,0.00,
Jacob Hollister,2558956,TE,FA,Bye,,,,,,,,,,,,,,72,0.00,
Austin Hooper,2555415,TE,NE,NYJ,,,,,,,,,,,,,1.96,73,0.00,-1.96
Jesper Horsted,2563270,TE,FA,Bye,,,,,,,,,,,,,,74,0.00,
Tanner Hudson,2561215,TE,CIN,PHI,,,,,,,,,,,,,2.96,75,0.00,-2.96
Tommy Hudson,2565450,TE,FA,Bye,,,,,,,,,,,,,,76,0.00,
Hayden Hurst,2560747,TE,LAC,NO,,,,,,,,,,,,,3.49,77,0.00,-3.49
Tyree Jackson,2562435,TE,FA,Bye,,,,,,,,,,,,,,78,0.00,
Michael Jacobson,2567204,TE,NO,@LAC,,,,,,,,,,,,,0.00,79,0.00,0.0
E.J. Jenkins,2570602,TE,PHI,@CIN,,,,,,,,,,,,,0.00,80,0.00,0.0
Juwan Johnson,2564676,TE,NO,@LAC,,,,,,,,,,,,,3.87,81,0.00,-3.87
Neal Johnson,2573719,TE,FA,Bye,,,,,,,,,,,,,,82,0.00,
Theo Johnson,2572333,TE,NYG,@PIT,,,,,,,,,,,,,0.00,83,0.00,0.0
Brevin Jordan,2566130,TE,HOU,IND,,,,,,,,,,,,,0.00,84,0.00,0.0
Nikola Kalinic,2567706,TE,LAR,MIN,,,,,,,,,,,,,0.00,85,0.00,0.0
Hunter Kampmoyer,2566481,TE,FA,Bye,,,,,,,,,,,,,,86,0.00,
Dalton Keene,2564616,TE,HOU,IND,,,,,,,,,,,,,0.00,87,0.00,0.0
Travis Kelce,2540258,TE,KC,@LV,,,,,,,,,,,,,11.54,88,0.00,-11.54
Ko Kieft,2568306,TE,TB,ATL,,,,,,,,,,,,,0.00,89,0.00,0.0
Dalton Kincaid,2569594,TE,BUF,@SEA,,,,,,,,,,,,,8.07,90,0.00,-8.07
George Kittle,2558266,TE,SF,DAL,,,,,,,,,,,,,8.85,91,0.00,-8.85
Cole Kmet,2563704,TE,CHI,@WAS,,,,,,,,,,,,,5.82,92,0.00,-5.82
Dawson Knox,2562681,TE,BUF,@SEA,,,,,,,,,,,,,2.66,93,0.00,-2.66
Trey Knox,2573301,TE,FA,Bye,,,,,,,,,,,,,,94,0.00,
Charlie Kolar,2567280,TE,BAL,@CLE,,,,,,,,,,,,,0.44,95,0.00,-0.44
Tucker Kraft,2569768,TE,GB,@JAX,,,,,,,,,,,,,4.80,96,0.00,-4.8
Lucas Krull,2569092,TE,DEN,CAR,,,,,,,,,,,,,0.92,97,0.00,-0.92
Zack Kuntz,2570182,TE,NYJ,@NE,,,,,,,,,,,,,0.00,98,0.00,0.0
Sam LaPorta,2569726,TE,DET,TEN,,,,,,,,,,,,,10.37,99,0.00,-10.37
Cameron Latu,2570302,TE,CLE,BAL,,,,,,,,,,,,,0.00,100,0.00,0.0
Dylan Leonard,2573091,TE,FA,Bye,,,,,,,,,,,,,,101,0.00,
Marcedes Lewis,2495888,TE,CHI,@WAS,,,,,,,,,,,,,0.00,102,0.00,0.0
Isaiah Likely,2567283,TE,BAL,@CLE,,,,,,,,,,,,,5.47,103,0.00,-5.47
Hunter Long,2566286,TE,LAR,MIN,,,,,,,,,,,,,0.00,104,0.00,0.0
Tyler Mabry,2565168,TE,SEA,BUF,,,,,,,,,,,,,0.00,105,0.00,0.0
Will Mallory,2569849,TE,IND,@HOU,,,,,,,,,,,,,0.88,106,0.00,-0.88
Chris Manhertz,2552622,TE,NYG,@PIT,,,,,,,,,,,,,0.00,107,0.00,0.0
David Martin-Robinson,2573467,TE,TEN,@DET,,,,,,,,,,,,,0.00,108,0.00,0.0
Ben Mason,2565845,TE,FA,Bye,,,,,,,,,,,,,,109,0.00,
Michael Mayer,2570032,TE,LV,KC,,,,,,,,,,,,,2.14,110,0.00,-2.14
Trey McBride,2568117,TE,ARI,@MIA,,,,,,,,,,,,,9.02,111,0.00,-9.02
Sean McKeon,2563854,TE,IND,@HOU,,,,,,,,,,,,,0.00,112,0.00,0.0
Tre' McKitty,2566490,TE,FA,Bye,,,,,,,,,,,,,,113,0.00,
Tanner McLachlan,2571937,TE,CIN,PHI,,,,,,,,,,,,,0.27,114,0.00,-0.27
James Mitchell,2567556,TE,DET,TEN,,,,,,,,,,,,,0.00,115,0.00,0.0
Zaire Mitchell-Paden,2568654,TE,BAL,@CLE,,,,,,,,,,,,,0.00,116,0.00,0.0
Foster Moreau,2562317,TE,NO,@LAC,,,,,,,,,,,,,2.94,117,0.00,-2.94
Quintin Morris,2566641,TE,BUF,@SEA,,,,,,,,,,,,,1.08,118,0.00,-1.08
Johnny Mundt,2558875,TE,MIN,@LAR,,,,,,,,,,,,,3.33,119,0.00,-3.33
Jordan Murray,2571714,TE,ARI,@MIA,,,,,,,,,,,,,0.00,120,0.00,0.0
Patrick Murtagh,2572150,TE,JAX,GB,,,,,,,,,,,,,0.00,121,0.00,0.0
Nick Muse,2567922,TE,MIN,@LAR,,,,,,,,,,,,,0.00,122,0.00,0.0
Luke Musgrave,2569780,TE,GB,@JAX,,,,,,,,,,,,,3.36,123,0.00,-3.36
