PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Brandon Stephens,2565851,DB,BAL,@DET,2,3,,,,,,,,,,,,,,,,3.25,123,5.80,3.25,2.55
Jarrod Wilson,2556711,DB,NYJ,@DEN,2,1,,1,,,,,,,,,,,,,,1.09,124,5.70,1.09,4.61
Josh Norman,2532920,DB,SF,GB,1,,,,,1,,,,,,,,,,,,3.77,125,5.20,3.77,1.43
Deandre Baker,2562227,DB,KC,LAC,3,,,,,,,,,,,,,,,,,3.95,126,5.10,3.95,1.15
Justin Coleman,2553637,DB,MIA,@LV,3,,,,,,,,,,,,,,,,,2.09,127,5.10,2.09,3.01
Mike Edwards,2562259,DB,TB,@LA,3,,,,,,,,,,,,,,,,,4.57,128,5.10,4.57,0.53
Rudy Ford,2558174,DB,JAX,ARI,3,,,,,,,,,,,,,,,,,1.98,129,5.10,1.98,3.12
Kyle Fuller,2543681,DB,DEN,NYJ,3,,,,,,,,,,,,,,,,,8.73,130,5.10,8.73,-3.63
Nate Hobbs,2566259,DB,LV,MIA,3,,,,,,,,,,,,,,,,,8.32,131,5.10,8.32,-3.22
Jaylon Johnson,2563701,DB,CHI,@CLE,3,,,,,,,,,,,,,,,,,8.80,132,5.10,8.8,-3.7
Tre Norwood,2566463,DB,PIT,CIN,3,,,,,,,,,,,,,,,,,4.50,133,5.10,4.5,0.6
D.J. Reed,2560850,DB,SEA,@MIN,3,,,,,,,,,,,,,,,,,11.21,134,5.10,11.21,-6.11
Rashad Fenton,2562649,DB,KC,LAC,2,2,,,,,,,,,,,,,,,,2.71,135,5.00,2.71,2.29
Mike Hughes,2560746,DB,KC,LAC,1,1,,,,,,,,,,,,1,,,,7.13,136,5.00,7.13,-2.13
Desmond King,2557927,DB,HOU,CAR,1,1,,,,,,,,,,,,1,,,,4.11,137,5.00,4.11,0.89
Jalen Mills,2555383,DB,NE,NO,2,2,,,,,,,,,,,,,,,,8.77,138,5.00,8.77,-3.77
Kindle Vildor,2563713,DB,CHI,@CLE,2,2,,,,,,,,,,,,,,,,9.93,139,5.00,9.93,-4.93
Tracy Walker III,2560913,DB,DET,BAL,1,1,,,,,,,,,,,,1,,,,10.45,140,5.00,10.45,-5.45
Julian Love,2562414,DB,NYG,ATL,,3,,,,,,,,,,,,1,,,,2.17,141,4.90,2.17,2.73
Arthur Maulet,2559087,DB,PIT,CIN,2,,,1,,,,,,,,,,,,,,1.32,142,4.90,1.32,3.58
Mackensie Alexander,2555177,DB,MIN,SEA,2,1,,,,,,,,,,,,,,,,7.49,143,4.20,7.49,-3.29
Henry Black,2563974,DB,GB,@SF,2,1,,,,,,,,,,,,,,,,1.42,144,4.20,1.42,2.78
Bryce Callahan,2553500,DB,DEN,NYJ,1,,,,,,,,,,,,,1,,,,,145,4.20,,
Carlton Davis,2561039,DB,TB,@LA,2,1,,,,,,,,,,,,,,,,,146,4.20,,
Jevon Holland,2566283,DB,MIA,@LV,2,1,,,,,,,,,,,,,,,,2.88,147,4.20,2.88,1.32
DeAndre Houston-Carson,2555381,DB,CHI,@CLE,2,1,,,,,,,,,,,,,,,,2.04,148,4.20,2.04,2.16
William Jackson,2556367,DB,WAS,@BUF,1,,,,,,,,,,,,,1,,,,7.94,149,4.20,7.94,-3.74
