PlayerName,PlayerId,Pos,Team,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TangetsReceptions,Rank,TotalPoints
Nate Becker,2563191,TE,FA,,,,,,,,,,,,,,,,,69,0.00
Ryan Becker,2564886,TE,ATL,,,,,,,,,,,,6.56,,,,,70,0.00
Blake Bell,2552478,TE,KC,,,,,,,,,,,,10.60,,,,,71,0.00
Kelvin Benjamin,2543471,TE,FA,,,,,,,,,,,,,,,,,72,0.00
Kendall Blanton,2562234,TE,LA,,,,,,,,,,,,7.93,,,,,73,0.00
Jibri Blount,2565672,TE,FA,,,,,,,,,,,,,,,,,74,0.00
Nick Bowers,2564415,TE,LV,,,,,,,,,,,,,,,,,75,0.00
Nick Boyle,2552402,TE,BAL,,,,,,,,,,,,,,,,,76,0.00
Jacob Breeland,2565321,TE,FA,,,,,,,,,,,,,,,,,77,0.00
Daniel Brown,2553900,TE,KC,,,,,,,,,,,,10.60,,,,,78,0.00
Pharaoh Brown,2559018,TE,HOU,,,,,,,,,,,,12.54,,,,,79,0.00
Hunter Bryant,2563923,TE,DET,,,,,,,,,,,,,,,,,80,0.00
Ian Bunting,2563073,TE,FA,,,,,,,,,,,,,,,,,81,0.00
Trey Burton,2550284,TE,FA,,,,,,,,,,,,,,,,,82,0.00
Matt Bushman,2565639,TE,FA,,,,,,,,,,,,,,,,,83,0.00
Jake Butt,2557859,TE,FA,,,,,,,,,,,,,,,,,84,0.00
Stephen Carlson,2563044,TE,CLE,,,,,,,,,,,,7.94,,,,,85,0.00
Derek Carrier,2534241,TE,LV,,,,,,,,,,,,,,,,,86,0.00
Darion Clark,2563434,TE,FA,,,,,,,,,,,,,,,,,87,0.00
Jason Croom,2559159,TE,PHI,,,,,,,,,,,,14.21,,,,,88,0.00
Dominique Dafney,2565540,TE,GB,,,,,,,,,,,,15.01,,,,,89,0.00
Darrell Daniels,2558886,TE,ARI,,,,,,,,,,,,8.31,,,,,90,0.00
Zach Davidson,2566301,TE,FA,,,,,,,,,,,,,,,,,91,0.00
Tyler Davis,2564178,TE,GB,,,,,,,,,,,,15.01,,,,,92,0.00
Seth DeValve,2556365,TE,FA,,,,,,,,,,,,,,,,,93,0.00
Brandon Dillon,2562984,TE,FA,,,,,,,,,,,,,,,,,94,0.00
